FAIRHAVEN,12 HAMLET,,07/28/14,3,
FAIRHAVEN,16 HAMLET,,07/28/14,3,
FAIRHAVEN,18 HAMLET,,07/28/14,3,
FAIRHAVEN,20 HAMLET,,07/28/14,3,
FAIRHAVEN,21 HAMLET,,07/28/14,3,
FAIRHAVEN,22 HAMLET,,07/28/14,3,
FAIRHAVEN,26 HAMLET,,07/28/14,3,
FAIRHAVEN,4 HAMLET,,07/28/14,3,
FAIRHAVEN,6 HAMLET,,07/28/14,3,
FAIRHAVEN,7 HAMLET,,07/28/14,3,
FAIRHAVEN,8 HAMLET,,07/28/14,3,
FAIRHAVEN,HAMLET,,07/28/14,3,
GRAFTON,81 CREEPER-HILL,,07/28/14,3,
GRAFTON,37 HILLTOP,,07/28/14,3,
GRAFTON,43 LINCOLN,,07/28/14,3,
GRAFTON,44 N-MAIN,,07/28/14,3,
GRAFTON,20 NELSON,,07/28/14,3,
GRAFTON,65 NOTTINGHAM,,07/28/14,3,
GRAFTON,54 WILLARD,,07/28/14,3,
NATICK,17 BARNESDALE,,07/28/14,3,
NATICK,30 BARNESDALE,,07/28/14,3,
NATICK,51 PARK,,07/28/14,3,
NATICK,27 PINEHURST,,07/28/14,3,
NATICK,8 PINEHURST,,07/28/14,3,
WAYLAND,8 HEARTHSTONE,,07/28/14,3,
FAIRHAVEN,NASKETUCKET,@ HUTTLESTON AVENUE,07/25/14,3,
WESTWOOD,HAWTHORN,,07/25/14,3,
CAMBRIDGE,23 CONCORD,,07/24/14,3,
FAIRHAVEN,12 BLOSSOM,,07/24/14,3,
FAIRHAVEN,17 BLOSSOM,,07/24/14,3,
FAIRHAVEN,5 BLOSSOM,,07/24/14,3,
FAIRHAVEN,18 EVERGREEN,,07/24/14,3,
FAIRHAVEN,22 EVERGREEN,,07/24/14,3,
FAIRHAVEN,33-34 EVERGREEN,,07/24/14,3,
FAIRHAVEN,35-36 EVERGREEN,,07/24/14,3,
FAIRHAVEN,EVERGREEN,,07/24/14,3,
FAIRHAVEN,4 HILL,,07/24/14,3,
FAIRHAVEN,HILL,,07/24/14,3,
FAIRHAVEN,HUTTLESTON,,07/24/14,3,
WESTWOOD,346 UNIVERSITY,,07/24/14,3,
CAMBRIDGE,SECOND,@ OTIS STREET,07/23/14,3,
FAIRHAVEN,10 EVERGREEN,,07/23/14,3,
FAIRHAVEN,6 EVERGREEN,,07/23/14,3,
FAIRHAVEN,8 EVERGREEN,,07/23/14,3,
FAIRHAVEN,HILL,,07/23/14,3,
FAIRHAVEN,HILL,,07/23/14,3,
NATICK,28 CENTRE,,07/23/14,3,
NATICK,15 DRURY,,07/23/14,3,
SHREWSBURY,615 MAIN,,07/23/14,3,
SHREWSBURY,734-738 MAIN,,07/23/14,3,
WESTBOROUGH,50 E-MAIN,,07/23/14,3,
FAIRHAVEN,33 GELLETTE,,07/22/14,3,
FAIRHAVEN,39 GELLETTE,,07/22/14,3,
FAIRHAVEN,46 GELLETTE,,07/22/14,3,
FAIRHAVEN,58 GELLETTE,,07/22/14,3,
FAIRHAVEN,66 GELLETTE,,07/22/14,3,
FAIRHAVEN,358 HUTTLESTON,,07/22/14,3,
FAIRHAVEN,366 HUTTLESTON,,07/22/14,3,
NEW BEDFORD,47 THOMPSON,,07/22/14,3,
WESTBOROUGH,91 FLANDERS,@ OLD FLANDERS ROAD,07/22/14,3,
FAIRHAVEN,398 HUTTLESTON,,07/21/14,3,
FAIRHAVEN,FLORENCE,,07/21/14,3,
FAIRHAVEN,384 HUTTLESTON,,07/21/14,3,
FAIRHAVEN,401 HUTTLESTON,,07/21/14,3,
FAIRHAVEN,HUTTLESTON,,07/21/14,3,
WORCESTER,59 INGLESIDE,,07/21/14,3,
FAIRHAVEN,418 HUTTLESTON,,07/18/14,3,
FAIRHAVEN,426 HUTTLESTON,,07/18/14,3,
FAIRHAVEN,HUTTLESTON,@ MATTAPOISETT TOWN LINE,07/18/14,3,
NATICK,36 BARNESDALE,,07/18/14,3,
ASHLAND,167 WINTER,,07/17/14,3,
NATICK,10 SURREY,,07/17/14,3,
NATICK,6 SURREY,,07/17/14,3,
WESTBOROUGH,3 COLONIAL,,07/17/14,3,
DARTMOUTH,379 HEMLOCK,,07/16/14,3,
DARTMOUTH,4 HOWLAND,,07/16/14,3,
DARTMOUTH,129 STACKHOUSE,,07/16/14,3,
DARTMOUTH,STACKHOUSE,,07/16/14,3,
DARTMOUTH,139 STEPHEN,,07/16/14,3,
DEDHAM,17-19 BROOKDALE,,07/16/14,3,
GRAFTON,42 SUNRISE,,07/16/14,3,
GRAFTON,18 VINCENT,,07/16/14,3,
HOLLISTON,260 HOPPING-BROOK,,07/16/14,3,
HOLLISTON,POPE,,07/16/14,3,
HOLLISTON,152 PROSPECT,,07/16/14,3,
HOLLISTON,22 SPRUCE,,07/16/14,3,
HOLLISTON,74 WEDGEWOOD,,07/16/14,3,
NATICK,8 BARNESDALE,,07/16/14,3,
WORCESTER,TOURAINE,,07/16/14,3,
HOLLISTON,93 NORLAND,,07/15/14,3,
HOLLISTON,136 PROSPECT,,07/15/14,3,
HOLLISTON,37 REGAL,,07/15/14,3,
HOLLISTON,330 WOODLAND,,07/15/14,3,
NATICK,40 PORTER,,07/15/14,3,
NEW BEDFORD,554 BROCK,,07/15/14,3,
NEW BEDFORD,78 BROCK,,07/15/14,3,
NEW BEDFORD,805 BROCK,,07/15/14,3,
NEW BEDFORD,90 BROCK,,07/15/14,3,
SHREWSBURY,34 LAKEVIEW,,07/15/14,3,
SHREWSBURY,36 N-QUINSIGAMOND,,07/15/14,3,
WORCESTER,MASON,,07/15/14,3,
WORCESTER,TALLAWANDA,,07/15/14,3,
ASHLAND,40 BIRCH-HILL,,07/14/14,3,
ASHLAND,44 BIRCH-HILL,,07/14/14,3,
CAMBRIDGE,MASS,@ CHESTER SREET,07/14/14,2,
HOLLISTON,7 LOUIS,,07/14/14,3,
HOLLISTON,101 OAK,,07/14/14,3,
HOLLISTON,7 PINECREST,,07/14/14,3,
HOLLISTON,510 PRENTICE,,07/14/14,3,
HOLLISTON,19 RIDGE,,07/14/14,3,
HOLLISTON,26 ROBERT,,07/14/14,3,
NATICK,16 CURTIS,,07/14/14,3,
NATICK,29 VIRGINIA,,07/14/14,3,
NEW BEDFORD,103 HUDSON,,07/14/14,3,
NEW BEDFORD,128 PORTLAND,,07/14/14,3,
NEW BEDFORD,49 SEYMOUR,,07/14/14,3,
NEW BEDFORD,71 SEYMOUR,,07/14/14,3,
NEW BEDFORD,83 SEYMOUR,,07/14/14,3,
NEW BEDFORD,93 SEYMOUR,,07/14/14,3,
NEW BEDFORD,W-RODNEY-FRENCH,,07/14/14,3,
SHREWSBURY,651 LAKE,,07/14/14,3,
WESTBOROUGH,169 W-MAIN,,07/14/14,3,
WESTBOROUGH,W-MAIN,@ WEST STREET,07/14/14,3,
CAMBRIDGE,62 HOMER,,07/11/14,3,
CAMBRIDGE,266 MASS,,07/11/14,3,
HOLLISTON,162 CHURCH,,07/11/14,3,
HOLLISTON,95 GREGORY,,07/11/14,3,
HOLLISTON,19 HIGH-ROCK,,07/11/14,3,
HOLLISTON,1334 HIGHLAND,,07/11/14,3,
HOLLISTON,161 KUNIHOLM,,07/11/14,3,
HOLLISTON,17 MARKED-TREE,,07/11/14,3,
HOLLISTON,330 MARKED-TREE,,07/11/14,3,
HOLLISTON,495 NORFOLK,,07/11/14,3,
HOLLISTON,NORFOLK,,07/11/14,3,
NATICK,58 W-CENTRAL,,07/11/14,3,
NEW BEDFORD,145-147 ALLORD,,07/11/14,3,
NEW BEDFORD,151 BIRCH,,07/11/14,3,
NEW BEDFORD,116 CHARLES,,07/11/14,3,
NEW BEDFORD,90 MOSS,,07/11/14,3,
CAMBRIDGE,DOUGLASS,@ MASS AVENUE,07/10/14,3,
DARTMOUTH,JOSHUA-WEEKS,,07/10/14,3,
DARTMOUTH,17 LOUTHAN-KIRBY,,07/10/14,3,
