TOWN,"STREET
NUMBER",STREET NAME,"INTERSECTING
STREET","DATE
CLASSIFIED","DATE
REPAIRED","LEAK
GRADE",Merged addresses,,unrepaired leaks at the start of the year,29
WORCESTER,12,GLENDALE,JUNE ST,20-Jun-2015,01-Oct-2015,2,12 GLENDALE,,,
MILLBURY,16,WOODLAND,LESLIE LN,21-Jun-2015,05-Oct-2015,2,16 WOODLAND,,,
ACUSHNET,24,SLOCUM,,22-Jun-2015,22-Jun-2015,1,24 SLOCUM,,,
FRAMINGHAM,147-149,IRVING,,22-Jun-2015,22-Jun-2015,1,147-149 IRVING,,,
KINGSTON,6,COUNTRY,WOODLAND AVE,22-Jun-2015,22-Jun-2015,1,6 COUNTRY,,,
HUDSON,12,APPLETON,,22-Jun-2015,21-Jul-2015,2,12 APPLETON,,,
DEDHAM,98,CLEVELAND,LEONARD ST,22-Jun-2015,31-Oct-2015,2,98 CLEVELAND,,,
NEW BEDFORD,893,LUCY,BARTLET ST,23-Jun-2015,23-Jun-2015,1,893 LUCY,,,
ACUSHNET,67,HOPE,,24-Jun-2015,24-Jun-2015,2,67 HOPE,,,
CAMBRIDGE,,RESERVOIR,@ HIGHLAND ST,24-Jun-2015,24-Jun-2015,1,RESERVOIR,,,
FRAMINGHAM,16-18,GILBERT,WINTHROP ST,24-Jun-2015,24-Jun-2015,1,16-18 GILBERT,,,
GRAFTON,,MILL,@ PARK CT,24-Jun-2015,24-Jun-2015,1,MILL,,,
SOMERVILLE,40,CEDAR,SARTWELL AVE,24-Jun-2015,24-Jun-2015,1,40 CEDAR,,,
WORCESTER,26,WARD,,24-Jun-2015,24-Jun-2015,1,26 WARD,,,
MILFORD,52,JIONZO,PAULA RD,24-Jun-2015,05-Dec-2015,2,52 JIONZO,,,
FAIRHAVEN,391,HUTTLESTON,,25-Jun-2015,25-Jun-2015,1,391 HUTTLESTON,,,
NEW BEDFORD,36,THOMPSON,,25-Jun-2015,25-Jun-2015,2,36 THOMPSON,,,
FREETOWN,95,COUNTY,,26-Jun-2015,26-Jun-2015,1,95 COUNTY,,,
HUDSON,108,LINCOLN,,26-Jun-2015,26-Jun-2015,1,108 LINCOLN,,,
GRAFTON,23,BRUCE,PROVIDENCE RD,26-Jun-2015,29-Jun-2015,2,23 BRUCE,,,
HYDE PARK,1457,HYDE PARK,,27-Jun-2015,27-Jun-2015,1,1457 HYDE PARK,,,
WORCESTER,302,PLANTATION,,27-Jun-2015,29-Jun-2015,2,302 PLANTATION,,,
CAMBRIDGE,10 1/2,APPIAN,GARDEN ST,29-Jun-2015,29-Jun-2015,1,10 1/2 APPIAN,,,
FRAMINGHAM,44,BRIDGES,,29-Jun-2015,29-Jun-2015,1,44 BRIDGES,,,
FRAMINGHAM,90,LINCOLN,,29-Jun-2015,29-Jun-2015,1,90 LINCOLN,,,
HYDE PARK,1147,HYDE PARK,,29-Jun-2015,29-Jun-2015,2,1147 HYDE PARK,,,
NEW BEDFORD,155,BROOKLAWN,,29-Jun-2015,29-Jun-2015,2,155 BROOKLAWN,,,
NORTHBRIDGE,,WHITIN,,29-Jun-2015,24-Aug-2015,2,WHITIN,,,
NORTHBRIDGE,480,CHURCH,,29-Jun-2015,31-Aug-2015,2,480 CHURCH,,,
KINGSTON,7,STONEY POINT,NOTTINGHAM DR,30-Jun-2015,30-Jun-2015,1,7 STONEY POINT,,,
WORCESTER,,RUSSELL,@ PARK AVE,30-Jun-2015,30-Jun-2015,1,RUSSELL,,,
WORCESTER,6,JUDSON,GROVE ST,30-Jun-2015,15-Oct-2015,2,6 JUDSON,,,
FRAMINGHAM,95,WINTHROP,MELLEN ST,30-Jun-2015,14-Nov-2015,2,95 WINTHROP,,,
CAMBRIDGE,945,MEMORIAL,COWPERTHWAITE,01-Jul-2015,01-Jul-2015,1,945 MEMORIAL,,,
HOPKINTON,10,PLEASANT,,01-Jul-2015,01-Jul-2015,1,10 PLEASANT,,,
WORCESTER,16,SECOND,,01-Jul-2015,27-Jul-2015,2,16 SECOND,,,
HOPKINTON,11,NAZNEEN,,01-Jul-2015,31-Jul-2015,2,11 NAZNEEN,,,
MARLBORO,3,FARMINGTON,FARM RD,01-Jul-2015,09-Oct-2015,2,3 FARMINGTON,,,
WORCESTER,621,SUNDERLAND,IDEAL RD,01-Jul-2015,19-Oct-2015,2,621 SUNDERLAND,,,
FRAMINGHAM,4,SAINT LO,,01-Jul-2015,14-Nov-2015,2,4 SAINT LO,,,
HOLLISTON,LOT #4,OLD CART,,02-Jul-2015,02-Jul-2015,1,LOT #4 OLD CART,,,
GRAFTON,54,WILLARD,,02-Jul-2015,08-Jul-2015,2,54 WILLARD,,,
GRAFTON,50,WILLARD,,02-Jul-2015,04-Aug-2015,2,50 WILLARD,,,
MILLBURY,166,NORTH MAIN,DEWEY AVE,02-Jul-2015,17-Sep-2015,2,166 NORTH MAIN,,,
WORCESTER,,CAMBRIDGE,@ SOUTHBRIDGE ST,02-Jul-2015,25-Nov-2015,2,CAMBRIDGE,,,
SOMERVILLE,,ELM,@ LINDEN AVE,02-Jul-2015,04-Dec-2015,,ELM,,,
ACUSHNET,134,PECKHAM,,03-Jul-2015,03-Jul-2015,1,134 PECKHAM,,,
HOPKINTON,5,WOODVIEW,,03-Jul-2015,03-Jul-2015,1,5 WOODVIEW,,,
WORCESTER,,WRENTHAM,@ PLEASANT ST,04-Jul-2015,04-Jul-2015,1,WRENTHAM,,,
WORCESTER,4,HOOPER,BELMONT ST,04-Jul-2015,04-Jul-2015,1,4 HOOPER,,,
HYDE PARK,20,OSCEOLA,,04-Jul-2015,22-Jul-2015,2,20 OSCEOLA,,,
CAMBRIDGE,258,THIRD,BROADWAY,04-Jul-2015,15-Oct-2015,2,258 THIRD,,,
WORCESTER,10,BANCROFT TOWER,FARNUM ST,04-Jul-2015,07-Dec-2015,2,10 BANCROFT TOWER,,,
NORTHBRIDGE,25,D,,05-Jul-2015,05-Jul-2015,1,25 D,,,
DARTMOUTH,5,NORTH PLEASANT,,06-Jul-2015,06-Jul-2015,1,5 NORTH PLEASANT,,,
HOLLISTON,,OLD CART,,06-Jul-2015,06-Jul-2015,1,OLD CART,,,
FRAMINGHAM,17,JODIE,PAVIA PL,06-Jul-2015,08-Jul-2015,2,17 JODIE,,,
HYDE PARK,2,BRAEBURN,MYOPIA RD,06-Jul-2015,08-Jul-2015,2,2 BRAEBURN,,,
GRAFTON,2,COACHHOUSE,,06-Jul-2015,06-Aug-2015,2,2 COACHHOUSE,,,
FRAMINGHAM,351-353,HOLLIS,,06-Jul-2015,12-Dec-2015,2,351-353 HOLLIS,,,
DEDHAM,91,GRANT,,07-Jul-2015,07-Jul-2015,1,91 GRANT,,,
HOPKINTON,3,SUSAN,,07-Jul-2015,07-Jul-2015,2,3 SUSAN,,,
MILFORD,18,SALVIA,,07-Jul-2015,07-Jul-2015,1,18 SALVIA,,,
NATICK,9,KELSEY,,07-Jul-2015,07-Jul-2015,1,9 KELSEY,,,
NEW BEDFORD,15,MOYNAN,,07-Jul-2015,07-Jul-2015,2,15 MOYNAN,,,
GRAFTON,13,WORCESTER,,07-Jul-2015,04-Aug-2015,2,13 WORCESTER,,,
DARTMOUTH,,STILLMAN,@ CHESTNUT ST,07-Jul-2015,24-Aug-2015,2,STILLMAN,,,
WORCESTER,83,COOLIDGE,COPLEY RD,07-Jul-2015,28-Aug-2015,2,83 COOLIDGE,,,
NEEDHAM,178,HUNNEWELL,CENTRAL AVE,07-Jul-2015,17-Sep-2015,2,178 HUNNEWELL,,,
FRAMINGHAM,,SECOND,@ TARALLI TER,07-Jul-2015,05-Oct-2015,2,SECOND,,,
WORCESTER,136,COOLIDGE,LONGFELLOW RD,07-Jul-2015,19-Oct-2015,2,136 COOLIDGE,,,
FRAMINGHAM,25,SAINT LO,GUADALCANAL RD,07-Jul-2015,07-Nov-2015,2,25 SAINT LO,,,
MARLBORO,46,BOUDREAU,SPRING ST,07-Jul-2015,14-Nov-2015,2,46 BOUDREAU,,,
MILFORD,49-51,CONGRESS,,07-Jul-2015,12-Dec-2015,2,49-51 CONGRESS,,,
FAIRHAVEN,20,HOLIDAY,,08-Jul-2015,08-Jul-2015,1,20 HOLIDAY,,,
NEW BEDFORD,178,PALMER,,08-Jul-2015,08-Jul-2015,2,178 PALMER,,,
WORCESTER,35,LONGFELLOW,COPLEY RD,08-Jul-2015,08-Jul-2015,1,35 LONGFELLOW,,,
WORCESTER,40,LONGFELLOW,COPLEY RD,08-Jul-2015,17-Aug-2015,2,40 LONGFELLOW,,,
KINGSTON,54,WINTER,,08-Jul-2015,24-Aug-2015,2,54 WINTER,,,
WESTWOOD,77,ARAN,@ GLANDORE RD,08-Jul-2015,21-Sep-2015,2,77 ARAN,,,
WORCESTER,90,COMMODORE,LONGFELLOW RD,08-Jul-2015,28-Sep-2015,2,90 COMMODORE,,,
WORCESTER,72,GARDNER,TAINTER ST,08-Jul-2015,19-Oct-2015,2,72 GARDNER,,,
HOPKINTON,6,WINDSONG,,09-Jul-2015,09-Jul-2015,1,6 WINDSONG,,,
HUDSON,2,CABOT,,09-Jul-2015,09-Jul-2015,1,2 CABOT,,,
NEW BEDFORD,183,ROCKLAND,HEMLOCK ST,09-Jul-2015,09-Jul-2015,2,183 ROCKLAND,,,
NEW BEDFORD,27,CLEVELAND,,09-Jul-2015,09-Jul-2015,2,27 CLEVELAND,,,
WORCESTER,8,SANDRA,,09-Jul-2015,09-Jul-2015,2,8 SANDRA,,,
DEDHAM,83,PAUL,TURNER ST,09-Jul-2015,10-Jul-2015,2,83 PAUL,,,
DEDHAM,88,PAUL,TURNER ST,09-Jul-2015,10-Jul-2015,2,88 PAUL,,,
DEDHAM,90,PAUL,TURNER ST,09-Jul-2015,10-Jul-2015,2,90 PAUL,,,
GRAFTON,35,SOUTH,,09-Jul-2015,13-Jul-2015,2,35 SOUTH,,,
WORCESTER,70,LONGFELLOW,COMMODORE RD,09-Jul-2015,18-Aug-2015,2,70 LONGFELLOW,,,
WORCESTER,108,LONGFELLOW,COMMODORE RD,09-Jul-2015,27-Aug-2015,2,108 LONGFELLOW,,,
SHREWSBURY,,HOLDEN,BOW ST,09-Jul-2015,07-Oct-2015,2,HOLDEN,,,
WORCESTER,16,HAVILAND,HIGHLAND ST,09-Jul-2015,07-Oct-2015,2,16 HAVILAND,,,
SOMERVILLE,20,HARVARD,CLEVELAND ST,09-Jul-2015,17-Nov-2015,2,20 HARVARD,,,
FAIRHAVEN,366,ALDEN,,10-Jul-2015,10-Jul-2015,1,366 ALDEN,,,
FRAMINGHAM,,UNION,@ NEWTON PL,10-Jul-2015,10-Jul-2015,1,UNION,,,
HUDSON,53,BLAINE,,10-Jul-2015,10-Jul-2015,1,53 BLAINE,,,
SHERBORN,69,OLD ORCHARD,,10-Jul-2015,10-Jul-2015,1,69 OLD ORCHARD,,,
SOMERVILLE,30,PROSPECT,WASHINGTON ST,10-Jul-2015,10-Jul-2015,2,30 PROSPECT,,,
WORCESTER,,STORES,NORTON DR,10-Jul-2015,10-Jul-2015,1,STORES,,,
GRAFTON,32,GORDON,COVENTRY RD,10-Jul-2015,30-Oct-2015,2,32 GORDON,,,
FREETOWN,95,COUNTY,,11-Jul-2015,13-Jul-2015,2,95 COUNTY,,,
HYDE PARK,38,CLIFFORD,PARKSON ST,12-Jul-2015,13-Jul-2015,1,38 CLIFFORD,,,
DEDHAM,16,CAROL,GREENLODGE ST,12-Jul-2015,30-Jul-2015,2,16 CAROL,,,
NATICK,39,FELCH,,13-Jul-2015,13-Jul-2015,1,39 FELCH,,,
NEW BEDFORD,22,BAY,,13-Jul-2015,13-Jul-2015,1,22 BAY,,,
FRAMINGHAM,184,LOCKLAND,,13-Jul-2015,05-Aug-2015,2,184 LOCKLAND,,,
FRAMINGHAM,200,LOCKLAND,,13-Jul-2015,20-Oct-2015,2,200 LOCKLAND,,,
FRAMINGHAM,182,LOCKLAND,,13-Jul-2015,20-Oct-2015,2,182 LOCKLAND,,,
MARLBORO,53,EVELINA,SCHOFIELD ST,13-Jul-2015,05-Nov-2015,2,53 EVELINA,,,
MARLBORO,,RUSSELL,@ PLEASANT ST,13-Jul-2015,14-Nov-2015,2,RUSSELL,,,
WORCESTER,11,HADWEN,HERBERT RD,13-Jul-2015,21-Nov-2015,2,11 HADWEN,,,
WORCESTER,1052,PLEASANT,BEACONSFIELD RD,13-Jul-2015,01-Dec-2015,2,1052 PLEASANT,,,
HOLLISTON,87,CHERYL,CEDAR ST,13-Jul-2015,05-Dec-2015,2,87 CHERYL,,,
HYDE PARK,934,METROPOLITAN,NORRIS RD,14-Jul-2015,18-Aug-2015,2,934 METROPOLITAN,,,
HYDE PARK,920,METROPOLITAN,BEACON ST,14-Jul-2015,02-Nov-2015,2,920 METROPOLITAN,,,
FRAMINGHAM,25,CLAUDETTE,,15-Jul-2015,15-Jul-2015,1,25 CLAUDETTE,,,
FRAMINGHAM,39,PRATT,,15-Jul-2015,15-Jul-2015,1,39 PRATT,,,
HUDSON,31,OLD BOLTON,,15-Jul-2015,15-Jul-2015,1,31 OLD BOLTON,,,
MILFORD,7-7A,OLIVER,,15-Jul-2015,15-Jul-2015,1,7-7A OLIVER,,,
WORCESTER,21,SUBURBAN,HIGHLAND TER,15-Jul-2015,21-Jul-2015,2,21 SUBURBAN,,,
WORCESTER,,NEWTON,@ 238-340 HIGHLAND ST,15-Jul-2015,14-Dec-2015,2,NEWTON,,,
WORCESTER,830,PLEASANT,BEECHING ST,16-Jul-2015,26-Oct-2015,2,830 PLEASANT,,,
WORCESTER,796,PLEASANT,INTERVALE RD,16-Jul-2015,31-Oct-2015,2,796 PLEASANT,,,
MARLBORO,46,BOUDREAU,SPRING ST,16-Jul-2015,14-Nov-2015,2,46 BOUDREAU,,,
NEEDHAM,109,LINDEN,BLAKE ST,16-Jul-2015,14-Nov-2015,2,109 LINDEN,,,
MILFORD,140,WEST,HIGHLAND ST,16-Jul-2015,18-Dec-2015,2,140 WEST,,,
FRAMINGHAM,619,HOLLIS,WILLIS AVE,17-Jul-2015,17-Jul-2015,1,619 HOLLIS,,,
MARLBORO,68,CHANDLER,BOLTON ST,17-Jul-2015,20-Nov-2015,2,68 CHANDLER,,,
CAMBRIDGE,11,UNION,,20-Jul-2015,20-Jul-2015,1,11 UNION,,,
DEDHAM,54,WILSON,WASHINGTON ST,20-Jul-2015,20-Jul-2015,2,54 WILSON,,,
GRAFTON,59,OAK,,20-Jul-2015,20-Jul-2015,2,59 OAK,,,
NEW BEDFORD,75,RIVET,@ S. SECOND ST,20-Jul-2015,21-Jul-2015,1,75 RIVET,,,
MARLBORO,,VEGA,@ BUTLER CIR,20-Jul-2015,30-Jul-2015,2,VEGA,,,
SHREWSBURY,,HOLDEN,BOW ST,20-Jul-2015,07-Oct-2015,2,HOLDEN,,,
SHREWSBURY,,HOLDEN,BOW ST,20-Jul-2015,07-Oct-2015,2,HOLDEN,,,
CAMBRIDGE,85,BRISTOL,HAMPSHIRE ST,20-Jul-2015,10-Dec-2015,2,85 BRISTOL,,,
NEW BEDFORD,,SOUTH FIRST,@ 145 COVE ST,21-Jul-2015,21-Jul-2015,1,SOUTH FIRST,,,
WORCESTER,15,BERKSHIRE,HIGHLAND ST,21-Jul-2015,21-Jul-2015,1,15 BERKSHIRE,,,
WORCESTER,10,STORES,SHORE DR,21-Jul-2015,21-Jul-2015,1,10 STORES,,,
WORCESTER,15-17,BITTERSWEET,,21-Jul-2015,21-Jul-2015,1,15-17 BITTERSWEET,,,
GRAFTON,44,BRIGHAM HILL,,21-Jul-2015,28-Jul-2015,2,44 BRIGHAM HILL,,,
SOMERVILLE,282,SUMMER,,21-Jul-2015,03-Oct-2015,2,282 SUMMER,,,
CAMBRIDGE,,PROSPECT,@ 168 HAMPSHIRE ST,21-Jul-2015,31-Oct-2015,2,PROSPECT,,,
MILFORD,115,WEST,MEMORY LN,21-Jul-2015,05-Dec-2015,2,115 WEST,,,
NATICK,7,PLEASANT,,22-Jul-2015,22-Jul-2015,1,7 PLEASANT,,,
NEW BEDFORD,807,SOUTH FIRST,COVE ST,22-Jul-2015,22-Jul-2015,1,807 SOUTH FIRST,,,
WORCESTER,183,WEST,INSTITUTE RD,22-Jul-2015,22-Jul-2015,1,183 WEST,,,
WORCESTER,2A,GILMAN,,22-Jul-2015,22-Jul-2015,1,2A GILMAN,,,
WESTBOROUGH,,STATE,@ HOLMES ST,22-Jul-2015,23-Jul-2015,2,STATE,,,
NEW BEDFORD,41,TARKILN HILL,BELLEVILLE AVE,22-Jul-2015,06-Aug-2015,2,41 TARKILN HILL,,,
NEW BEDFORD,23,TARKILN HILL,BELLEVILLE AVE,22-Jul-2015,10-Aug-2015,2,23 TARKILN HILL,,,
NEW BEDFORD,,SOUTH FIRST,@ 32 DIVISION ST,22-Jul-2015,21-Aug-2015,2,SOUTH FIRST,,,
SOMERVILLE,38,PUTNAM,HIGHLAND AVE,22-Jul-2015,07-Dec-2015,2,38 PUTNAM,,,
WORCESTER,535-537,MASSASOIT,,23-Jul-2015,23-Jul-2015,1,535-537 MASSASOIT,,,
CAMBRIDGE,12,HUBBARD PARK,SPARKS ST,23-Jul-2015,10-Aug-2015,2,12 HUBBARD PARK,,,
NEW BEDFORD,,ORCHARD,,23-Jul-2015,19-Aug-2015,2,ORCHARD,,,
NEW BEDFORD,211,EUGENIA,,23-Jul-2015,11-Sep-2015,2,211 EUGENIA,,,
HOLLISTON,200,NORFOLK,FRANKLIN ST,23-Jul-2015,05-Dec-2015,2,200 NORFOLK,,,
WESTWOOD,225,WASHINGTON,@ DEAN STREET,23-Jul-2015,07-Dec-2015,2,225 WASHINGTON,,,
SUTTON,137,BOSTON,,24-Jul-2015,24-Jul-2015,1,137 BOSTON,,,
MATTAPOISETT,60,MARION,,24-Jul-2015,05-Aug-2015,2,60 MARION,,,
CAMBRIDGE,103,SEVENTH,,24-Jul-2015,09-Nov-2015,2,103 SEVENTH,,,
CAMBRIDGE,44,POTTER,,24-Jul-2015,13-Nov-2015,2,44 POTTER,,,
CAMBRIDGE,252,WALDEN,,24-Jul-2015,14-Nov-2015,2,252 WALDEN,,,
CAMBRIDGE,196,BROADWAY,,24-Jul-2015,24-Nov-2015,2,196 BROADWAY,,,
CAMBRIDGE,,SIXTH,,24-Jul-2015,14-Dec-2015,2,SIXTH,,,
CAMBRIDGE,225,BINNEY,,24-Jul-2015,17-Dec-2015,2,225 BINNEY,,,
NEEDHAM,1370,GREAT PLAIN,ABBOTT ST,27-Jul-2015,27-Jul-2015,1,1370 GREAT PLAIN,,,
WESTBOROUGH,1-7,SIMEON HOWARD,,27-Jul-2015,27-Jul-2015,2,1-7 SIMEON HOWARD,,,
WORCESTER,,STORES,@ SHORE DR,27-Jul-2015,27-Jul-2015,1,STORES,,,
FRAMINGHAM,33,MAIN,,27-Jul-2015,28-Jul-2015,1,33 MAIN,,,
GRAFTON,14-20,JUNIPER,,27-Jul-2015,04-Aug-2015,2,14-20 JUNIPER,,,
GRAFTON,2-12,JUNIPER,,27-Jul-2015,04-Aug-2015,2,2-12 JUNIPER,,,
CAMBRIDGE,,CONCORD,,27-Jul-2015,17-Sep-2015,2,CONCORD,,,
WESTWOOD,22,BOOTH,,27-Jul-2015,21-Sep-2015,2,22 BOOTH,,,
CAMBRIDGE,21,KIRKLAND,,27-Jul-2015,03-Oct-2015,2,21 KIRKLAND,,,
HYDE PARK,49,BRADLEE,BRADLEE PK,27-Jul-2015,17-Oct-2015,2,49 BRADLEE,,,
CAMBRIDGE,,KIRKLAND,,27-Jul-2015,31-Oct-2015,2,KIRKLAND,,,
CAMBRIDGE,,MASSACHUSETTS,,27-Jul-2015,17-Nov-2015,2,MASSACHUSETTS,,,
CAMBRIDGE,48,QUINCY,,27-Jul-2015,08-Dec-2015,2,48 QUINCY,,,
FRAMINGHAM,865,WAVERLY,PALMETTO AVE,27-Jul-2015,08-Dec-2015,2,865 WAVERLY,,,
CAMBRIDGE,35,ORCHARD,,28-Jul-2015,28-Jul-2015,1,35 ORCHARD,,,
NEW BEDFORD,141,HEMLOCK,SWIFT ST,28-Jul-2015,28-Jul-2015,2,141 HEMLOCK,,,
MILFORD,28,CLAFLIN,,28-Jul-2015,29-Jul-2015,1,28 CLAFLIN,,,
MARLBORO,,MILLHAM,@ DUDLEY ST,28-Jul-2015,03-Aug-2015,2,MILLHAM,,,
HYDE PARK,29,MAGEE,,28-Jul-2015,05-Oct-2015,2,29 MAGEE,,,
HYDE PARK,119,RUSKINDALE,BLAKE ST,28-Jul-2015,16-Oct-2015,2,119 RUSKINDALE,,,
HYDE PARK,69,LODGEHILL,,28-Jul-2015,20-Nov-2015,2,69 LODGEHILL,,,
HYDE PARK,784,TRUMAN,,28-Jul-2015,23-Nov-2015,2,784 TRUMAN,,,
HOLLISTON,,RIDGE,,28-Jul-2015,05-Dec-2015,3,RIDGE,,,
DEDHAM,,EAST,,28-Jul-2015,07-Dec-2015,2,EAST,,,
CAMBRIDGE,,BOWDOIN,@ HUDSON ST,29-Jul-2015,29-Jul-2015,2,BOWDOIN,,,
FAIRHAVEN,17,BLOSSOM,HILL ST,29-Jul-2015,30-Jul-2015,2,17 BLOSSOM,,,
MILFORD,18,FRUIT,,29-Jul-2015,31-Jul-2015,2,18 FRUIT,,,
DEDHAM,122-126,RIVER,,29-Jul-2015,05-Aug-2015,2,122-126 RIVER,,,
NATICK,8,BARNESDALE,,29-Jul-2015,09-Aug-2015,2,8 BARNESDALE,,,
NEW BEDFORD,36,ACUSHNET,BLACKMERE ST,29-Jul-2015,20-Aug-2015,2,36 ACUSHNET,,,
NATICK,23,WESTERN,,29-Jul-2015,21-Aug-2015,2,23 WESTERN,,,
CAMBRIDGE,90,AMORY,HAMPSHIRE ST,29-Jul-2015,24-Sep-2015,2,90 AMORY,,,
NORTHBRIDGE,15,HEATHER,,29-Jul-2015,26-Oct-2015,2,15 HEATHER,,,
DEDHAM,203,HIGHLAND,,29-Jul-2015,25-Nov-2015,2,203 HIGHLAND,,,
HUDSON,,MAIN,,29-Jul-2015,03-Dec-2015,2,MAIN,,,
CAMBRIDGE,47,HOWARD,CALLENDAR ST,29-Jul-2015,12-Dec-2015,2,47 HOWARD,,,
MILFORD,,MAIN,,29-Jul-2015,12-Dec-2015,3,MAIN,,,
NATICK,36,SYLVESTER,,29-Jul-2015,14-Dec-2015,2,36 SYLVESTER,,,
FRAMINGHAM,731,CONCORD,,29-Jul-2015,18-Dec-2015,2,731 CONCORD,,,
NEW BEDFORD,75,MOSHER,COUNTY ST,30-Jul-2015,30-Jul-2015,2,75 MOSHER,,,
NEW BEDFORD,61,KATHARINE,CRAPO ST,30-Jul-2015,30-Jul-2015,1,61 KATHARINE,,,
NATICK,19,FLORENCE,HARVARD ST,30-Jul-2015,04-Nov-2015,2,19 FLORENCE,,,
CAMBRIDGE,122,MOUNT AUBURN,UNIVERSITY RD,30-Jul-2015,21-Nov-2015,2,122 MOUNT AUBURN,,,
CAMBRIDGE,400,MOUNT AUBURN,,30-Jul-2015,21-Nov-2015,2,400 MOUNT AUBURN,,,
CAMBRIDGE,,MASSACHUSETTS,,30-Jul-2015,02-Dec-2015,2,MASSACHUSETTS,,,
CAMBRIDGE,,BRATTLE,,30-Jul-2015,04-Dec-2015,2,BRATTLE,,,
CAMBRIDGE,,BROADWAY,,30-Jul-2015,05-Dec-2015,2,BROADWAY,,,
CAMBRIDGE,83,MOUNT AUBURN,,30-Jul-2015,18-Dec-2015,2,83 MOUNT AUBURN,,,
FRAMINGHAM,279,HOLLIS,,30-Jul-2015,19-Dec-2015,2,279 HOLLIS,,,
FRAMINGHAM,565,PLEASANT,,30-Jul-2015,21-Dec-2015,2,565 PLEASANT,,,
CAMBRIDGE,195,CONCORD,,31-Jul-2015,31-Jul-2015,1,195 CONCORD,,,
NEW BEDFORD,,BROWNELL,KEMPTON ST,31-Jul-2015,31-Jul-2015,2,BROWNELL,,,
NEW BEDFORD,46,DELANO,S. SECOND ST,31-Jul-2015,31-Jul-2015,1,46 DELANO,,,
GRAFTON,86,MAIN,,31-Jul-2015,04-Aug-2015,3,86 MAIN,,,
WORCESTER,351,PLANTATION,WARDEN ST,31-Jul-2015,04-Aug-2015,2,351 PLANTATION,,,
NATICK,2-4,HOME,W. CENTRAL ST,31-Jul-2015,28-Oct-2015,2,2-4 HOME,,,
CAMBRIDGE,456,BROADWAY,,31-Jul-2015,05-Dec-2015,2,456 BROADWAY,,,
CAMBRIDGE,1550,CAMBRIDGE,,31-Jul-2015,10-Dec-2015,2,1550 CAMBRIDGE,,,
WORCESTER,708,GRAFTON,CORRINE ST,02-Aug-2015,02-Aug-2015,1,708 GRAFTON,,,
NEW BEDFORD,45,ROOSEVELT,RUTH ST,02-Aug-2015,05-Aug-2015,1,45 ROOSEVELT,,,
WESTBOROUGH,32,LONG,,03-Aug-2015,03-Aug-2015,2,32 LONG,,,
CAMBRIDGE,442,BROADWAY,TROWBRIDGE ST,03-Aug-2015,12-Aug-2015,2,442 BROADWAY,,,
WORCESTER,643,LINCOLN,BOYLSTON ST,03-Aug-2015,11-Sep-2015,2,643 LINCOLN,,,
WORCESTER,2B,KNOX,CLOVER ST,03-Aug-2015,12-Sep-2015,2,2B KNOX,,,
CAMBRIDGE,765,MASSACHUSETTS,,03-Aug-2015,22-Sep-2015,2,765 MASSACHUSETTS,,,
DEDHAM,,MILTON,,03-Aug-2015,22-Sep-2015,2,MILTON,,,
SHREWSBURY,577,LAKE,ARROWWOOD DR,03-Aug-2015,06-Oct-2015,2,577 LAKE,,,
WORCESTER,,LINCOLN,@ AMESBURY ST,03-Aug-2015,22-Oct-2015,2,LINCOLN,,,
CAMBRIDGE,,MASSACHUSETTS,,03-Aug-2015,20-Nov-2015,2,MASSACHUSETTS,,,
DEDHAM,60,RIVERSIDE,,03-Aug-2015,05-Dec-2015,2,60 RIVERSIDE,,,
CAMBRIDGE,23-25,BRISTOL,,03-Aug-2015,14-Dec-2015,2,23-25 BRISTOL,,,
CAMBRIDGE,744,MASSACHUSETTS,PLEASANT ST,04-Aug-2015,07-Aug-2015,2,744 MASSACHUSETTS,,,
WORCESTER,1182,GRAFTON,MONTEFORTE ST,04-Aug-2015,18-Sep-2015,2,1182 GRAFTON,,,
DEDHAM,125-133,RUSTCRAFT,,04-Aug-2015,23-Sep-2015,2,125-133 RUSTCRAFT,,,
HUDSON,40,EATON,,04-Aug-2015,21-Nov-2015,2,40 EATON,,,
CAMBRIDGE,,MASSACHUSETTS,@ LEE ST,04-Aug-2015,04-Dec-2015,2,MASSACHUSETTS,,,
CAMBRIDGE,878,MASSACHUSETTS,LEE ST,04-Aug-2015,08-Dec-2015,2,878 MASSACHUSETTS,,,
CAMBRIDGE,931,MASSACHUSETTS,HANCOCK ST,04-Aug-2015,16-Dec-2015,,931 MASSACHUSETTS,,,
MAYNARD,6,SHERMAN,,05-Aug-2015,05-Aug-2015,2,6 SHERMAN,,,
NEW BEDFORD,33,SWIFT,,05-Aug-2015,05-Aug-2015,2,33 SWIFT,,,
NEW BEDFORD,45,ROOSEVELT,,05-Aug-2015,05-Aug-2015,2,45 ROOSEVELT,,,
WORCESTER,32,FALMOUTH,,05-Aug-2015,05-Aug-2015,1,32 FALMOUTH,,,
FRAMINGHAM,17,JODIE,PAVIA PL,05-Aug-2015,07-Aug-2015,2,17 JODIE,,,
MAYNARD,10,GARFIELD,ARTHUR ST,05-Aug-2015,14-Aug-2015,2,10 GARFIELD,,,
WORCESTER,77,LYMAN,,05-Aug-2015,19-Aug-2015,2,77 LYMAN,,,
WORCESTER,453,MILL,JUNE ST,05-Aug-2015,20-Oct-2015,2,453 MILL,,,
FRAMINGHAM,280,IRVING,,06-Aug-2015,06-Aug-2015,1,280 IRVING,,,
