TOWN,ADDRESS,INTERSECTING STREET,DATE CLASSIFIED,LEAK GRADE,unrepaired leaks at the start of the year,2629
WORCESTER,51 SEMINOLE,,05-Jun-2014,3,,
WORCESTER,4 S-LENOX,,05-Jun-2014,3,,
WORCESTER,60 S-LUDLOW,,05-Jun-2014,3,,
WORCESTER,S-LUDLOW,,05-Jun-2014,3,,
WORCESTER,16 S-WARD,,05-Jun-2014,3,,
WORCESTER,UPSALA,,05-Jun-2014,3,,
WORCESTER,WOODWARD,,05-Jun-2014,3,,
DARTMOUTH,1 ERIC,,06-Jun-2014,3,,
NEW BEDFORD,596 HATHAWAY,,06-Jun-2014,3,,
NEW BEDFORD,670 HATHAWAY,,06-Jun-2014,3,,
NEW BEDFORD,HATHAWAY,,06-Jun-2014,3,,
NEW BEDFORD,167 POTTER,,06-Jun-2014,3,,
NEW BEDFORD,114-116 W-HILL,,06-Jun-2014,3,,
WORCESTER,214 AUSTIN,,06-Jun-2014,3,,
DEDHAM,140 CHICKERING,,09-Jun-2014,3,,
DEDHAM,227 PINE,,09-Jun-2014,3,,
NATICK,20 OXFORD,,09-Jun-2014,3,,
NATICK,27 WELLESLEY,,09-Jun-2014,3,,
NEW BEDFORD,582 SHAWMUT,,09-Jun-2014,3,,
WORCESTER,721 MAIN,,09-Jun-2014,3,,
WORCESTER,779 MAIN,,09-Jun-2014,3,,
WORCESTER,43 PARK-TERRACE,,09-Jun-2014,3,,
WORCESTER,117 VALE,,09-Jun-2014,3,,
DARTMOUTH,STATE,,10-Jun-2014,3,,
MILFORD,25 WALNUT,,10-Jun-2014,3,,
MILLBURY,ELM,,10-Jun-2014,3,,
NATICK,8 KEANE,,10-Jun-2014,3,,
NEW BEDFORD,67 KILBURN,,10-Jun-2014,3,,
NEW BEDFORD,92 KILBURN,,10-Jun-2014,3,,
NEW BEDFORD,KILBURN,,10-Jun-2014,3,,
ASHLAND,158 ALGONQUIN,,11-Jun-2014,3,,
NATICK,33 WASHINGTON,,11-Jun-2014,3,,
NEEDHAM,123 HIGHLAND,,11-Jun-2014,3,,
NEW BEDFORD,50 DURFEE,,11-Jun-2014,3,,
NEW BEDFORD,102 MT-PLEASANT,,11-Jun-2014,3,,
NEW BEDFORD,128 MT-PLEASANT,,11-Jun-2014,3,,
NEW BEDFORD,PLEASANT,@ LINDEN STREET,11-Jun-2014,3,,
NEW BEDFORD,REYNOLDS,,11-Jun-2014,3,,
NEW BEDFORD,251 STATE,,11-Jun-2014,3,,
SOMERVILLE,46 BROMFIELD,,11-Jun-2014,3,,
WORCESTER,976 MAIN,,11-Jun-2014,3,,
ASHLAND,18 GREENWOOD,,12-Jun-2014,3,,
ASHLAND,GREENWOOD,,12-Jun-2014,3,,
ASHLAND,109 HOWE,,12-Jun-2014,3,,
ASHLAND,47 NICKERSON,,12-Jun-2014,3,,
NEW BEDFORD,742 COUNTY,,12-Jun-2014,3,,
NEW BEDFORD,COUNTY,,12-Jun-2014,3,,
NEW BEDFORD,COUNTY,,12-Jun-2014,3,,
NEW BEDFORD,HAZARD,,12-Jun-2014,3,,
NEW BEDFORD,LOCUST,,12-Jun-2014,3,,
NEW BEDFORD,60 MERRIMAC,,12-Jun-2014,3,,
NEW BEDFORD,38-40 PEARL,,12-Jun-2014,3,,
NEW BEDFORD,1332 PLEASANT,,12-Jun-2014,3,,
HOLLISTON,1657 WASHINGTON,,13-Jun-2014,3,,
NEW BEDFORD,39 MAITLAND,,13-Jun-2014,3,,
NEW BEDFORD,51 PARKER,,13-Jun-2014,3,,
NEW BEDFORD,PARKER,,13-Jun-2014,3,,
SOMERVILLE,18 BENTON,,13-Jun-2014,3,,
WORCESTER,3 RUTLAND,,13-Jun-2014,3,,
WORCESTER,4 RUTLAND,,13-Jun-2014,3,,
WORCESTER,87 SAGAMORE,,13-Jun-2014,3,,
WORCESTER,88 SAGAMORE,,13-Jun-2014,3,,
DARTMOUTH,925 ALLEN,,16-Jun-2014,3,,
DARTMOUTH,975 ALLEN,,16-Jun-2014,3,,
DARTMOUTH,ALLEN,@ SABLE AVENUE,16-Jun-2014,3,,
NEW BEDFORD,439 MAXFIELD,,16-Jun-2014,3,,
NEW BEDFORD,MAXFIELD,,16-Jun-2014,3,,
NEW BEDFORD,COMMONWEALTH,@ HUNTINGTON AVENUE,17-Jun-2014,3,,
NEW BEDFORD,HUSSEY,,17-Jun-2014,3,,
NEW BEDFORD,950 KEMPTON,,17-Jun-2014,3,,
NEW BEDFORD,23 LONGWOOD,,17-Jun-2014,3,,
NEW BEDFORD,125 CAMPBELL,,18-Jun-2014,3,,
NEW BEDFORD,155-161 CAMPBELL,,18-Jun-2014,3,,
NEW BEDFORD,COTTAGE,,18-Jun-2014,3,,
NEW BEDFORD,125 HILLMAN,,18-Jun-2014,3,,
NEW BEDFORD,103 SMITH,,18-Jun-2014,3,,
NEW BEDFORD,SYCAMORE,,18-Jun-2014,3,,
NEW BEDFORD,WILLIS,,18-Jun-2014,3,,
WORCESTER,399 SOUTHBRIDGE,,18-Jun-2014,3,,
NEW BEDFORD,CAMPBELL,,19-Jun-2014,3,,
NEW BEDFORD,CAMPBELL,,19-Jun-2014,3,,
NEW BEDFORD,CAMPBELL,,19-Jun-2014,3,,
NEW BEDFORD,638 COUNTY,,19-Jun-2014,3,,
NEW BEDFORD,670 COUNTY,,19-Jun-2014,3,,
NEW BEDFORD,COUNTY,,19-Jun-2014,3,,
NEW BEDFORD,44 STATE,,19-Jun-2014,3,,
NEW BEDFORD,21 SYCAMORE,,19-Jun-2014,3,,
NEW BEDFORD,5 SYCAMORE,,19-Jun-2014,3,,
NEW BEDFORD,SYCAMORE,,19-Jun-2014,3,,
NEW BEDFORD,94 WALDEN,,19-Jun-2014,3,,
NEW BEDFORD,49 WILLIS,,19-Jun-2014,3,,
NEW BEDFORD,WILLIS,@ WASHINGTON AVENUE,19-Jun-2014,3,,
NEW BEDFORD,JAMES,,20-Jun-2014,3,,
NEW BEDFORD,46 JONATHAN,,20-Jun-2014,3,,
NEW BEDFORD,478 BEDFORD,,23-Jun-2014,3,,
NEW BEDFORD,SOUTH SIXTH,,23-Jun-2014,3,,
WORCESTER,FAIRFIELD,@ ENFIELD STREET,23-Jun-2014,3,,
NEW BEDFORD,140-142 BROWNELL,,24-Jun-2014,3,,
NEW BEDFORD,112 COTTAGE,,24-Jun-2014,3,,
NEW BEDFORD,329 HAWTHORN,,24-Jun-2014,3,,
NEW BEDFORD,98 MADISON,,24-Jun-2014,3,,
NEW BEDFORD,33 MAPLE,,24-Jun-2014,3,,
NEW BEDFORD,MAPLE,,24-Jun-2014,3,,
NEW BEDFORD,51 SEVENTH,,24-Jun-2014,3,,
NEW BEDFORD,SEVENTH,,24-Jun-2014,3,,
NEW BEDFORD,258 WALNUT,,24-Jun-2014,3,,
NEW BEDFORD,WEST CLINTON,,24-Jun-2014,3,,
NEW BEDFORD,BEDFORD,,25-Jun-2014,3,,
NEW BEDFORD,HOWLAND,,25-Jun-2014,3,,
NEW BEDFORD,362 PLEASANT,,25-Jun-2014,3,,
NEW BEDFORD,18 WING,,25-Jun-2014,3,,
NEW BEDFORD,24 WING,,25-Jun-2014,3,,
NEW BEDFORD,WING,,25-Jun-2014,3,,
WORCESTER,45 WHIPPLE,,25-Jun-2014,3,,
DARTMOUTH,436 SLOCUM,,26-Jun-2014,3,,
DARTMOUTH,SLOCUM,@ BERKLEY STREET,26-Jun-2014,3,,
HOLLISTON,87 CHERYL,,26-Jun-2014,3,,
HOPEDALE,FREEDOM,@ HOPEDALE STREET,26-Jun-2014,3,,
HOPEDALE,NORTHRUP,,26-Jun-2014,3,,
NEW BEDFORD,729 ALLEN,,26-Jun-2014,3,,
NEW BEDFORD,113 CARROLL,,26-Jun-2014,3,,
NEW BEDFORD,127 CARROLL,,26-Jun-2014,3,,
NEW BEDFORD,227 CARROLL,,26-Jun-2014,3,,
NEW BEDFORD,241 CARROLL,,26-Jun-2014,3,,
NEW BEDFORD,CARROLL,,26-Jun-2014,3,,
NEW BEDFORD,HARDING,,26-Jun-2014,3,,
NEW BEDFORD,542 KIRBY,,26-Jun-2014,3,,
NEW BEDFORD,225 RYAN,,26-Jun-2014,3,,
NEW BEDFORD,237-242 RYAN,,26-Jun-2014,3,,
NEW BEDFORD,RYAN,,26-Jun-2014,3,,
WORCESTER,1 BECKMAN,,26-Jun-2014,3,,
DARTMOUTH,167 SLOCUM,,27-Jun-2014,3,,
NATICK,339 SPEEN,,27-Jun-2014,3,,
NATICK,393 SPEEN,,27-Jun-2014,3,,
NEW BEDFORD,ACUSHNET,@ LOGAN STREET,27-Jun-2014,3,,
NEW BEDFORD,24-100 N-FRONT,,27-Jun-2014,3,,
SHREWSBURY,19 KINGLET,,27-Jun-2014,3,,
SHREWSBURY,21 TANAGER,,27-Jun-2014,3,,
SHREWSBURY,TANAGER,@ KINGLET DRIVE,27-Jun-2014,3,,
WORCESTER,33 FALMOUTH,,27-Jun-2014,3,,
CAMBRIDGE,BROADWAY,@ GALILEI WAY,30-Jun-2014,3,,
FAIRHAVEN,CASTLE,@ NORTH STREET,30-Jun-2014,3,,
NEW BEDFORD,MADISON,,30-Jun-2014,3,,
NEW BEDFORD,SOUTH SECOND,,30-Jun-2014,3,,
NEW BEDFORD,8 BRIGHAM,,01-Jul-2014,3,,
NEW BEDFORD,32 MANDELL,,01-Jul-2014,3,,
NEW BEDFORD,ROCKDALE,,01-Jul-2014,3,,
NEW BEDFORD,59 WINTERVILLE,,01-Jul-2014,3,,
NEW BEDFORD,70 WINTERVILLE,,01-Jul-2014,3,,
WORCESTER,48 DORCHESTER,,01-Jul-2014,3,,
WORCESTER,72 DORCHESTER,,01-Jul-2014,3,,
DARTMOUTH,188 SHARP,,02-Jul-2014,3,,
NEW BEDFORD,74 BAY,,02-Jul-2014,3,,
NEW BEDFORD,77 BEDFORD,,02-Jul-2014,3,,
NEW BEDFORD,BEDFORD,@ ANTHONY STREET,02-Jul-2014,3,,
NEW BEDFORD,70 COTTAGE,,02-Jul-2014,3,,
NEW BEDFORD,76 COTTAGE,,02-Jul-2014,3,,
NEW BEDFORD,COTTAGE,,02-Jul-2014,3,,
NEW BEDFORD,27 MERIAM,,02-Jul-2014,3,,
NEW BEDFORD,4 MERIAM,,02-Jul-2014,3,,
NEW BEDFORD,48 STETSON,,02-Jul-2014,3,,
NEW BEDFORD,34 STETSON,,02-Jul-2014,3,,
NEW BEDFORD,43 STETSON,,02-Jul-2014,3,,
DEDHAM,28 DRESSER,,03-Jul-2014,3,,
KINGSTON,2 LEE,,03-Jul-2014,3,,
KINGSTON,164 MAIN,,03-Jul-2014,3,,
KINGSTON,96 MAIN,,03-Jul-2014,3,,
KINGSTON,2 PEARL,,03-Jul-2014,3,,
KINGSTON,172 PEMBROKE,,03-Jul-2014,3,,
KINGSTON,25 RIVERSIDE,,03-Jul-2014,3,,
KINGSTON,74-78 SUMMER,,03-Jul-2014,3,,
KINGSTON,91 SUMMER,,03-Jul-2014,3,,
NATICK,93 NORTH,,03-Jul-2014,3,,
NEW BEDFORD,289 BOLTON,,03-Jul-2014,3,,
NEW BEDFORD,325 BOLTON,,03-Jul-2014,3,,
NEW BEDFORD,BRIGGS,,03-Jul-2014,3,,
NEW BEDFORD,29 GOSNOLD,,03-Jul-2014,3,,
NEW BEDFORD,SIDNEY,,03-Jul-2014,3,,
NEW BEDFORD,THOMPSON,,03-Jul-2014,3,,
SHREWSBURY,10 ANGELA,,06-Jul-2014,3,,
SHREWSBURY,40 MAURY,,06-Jul-2014,3,,
SHREWSBURY,PAL,@ ANGELA DRIVE,06-Jul-2014,3,,
SHREWSBURY,190 SOUTH QUINSIGAMOND,,06-Jul-2014,3,,
NATICK,1 WORCESTER,,07-Jul-2014,3,,
NEW BEDFORD,BANK,@ ROCKDALE AVENUE,07-Jul-2014,3,,
NEW BEDFORD,ROCKDALE,,07-Jul-2014,3,,
NEW BEDFORD,ROCKDALE,,07-Jul-2014,3,,
NEW BEDFORD,34 STACKHOUSE,,07-Jul-2014,3,,
NEW BEDFORD,39 STEPHEN,,07-Jul-2014,3,,
MAYNARD,5 PARMENTER,,08-Jul-2014,3,,
NEW BEDFORD,981 LLOYD,,08-Jul-2014,3,,
NEW BEDFORD,21 MOSHER,,08-Jul-2014,3,,
NEW BEDFORD,665 ORCHARD,,08-Jul-2014,3,,
NEW BEDFORD,ORCHARD,,08-Jul-2014,3,,
NEW BEDFORD,187 OSBORNE,,08-Jul-2014,3,,
NEW BEDFORD,ROCKDALE,,08-Jul-2014,3,,
SHREWSBURY,19 JORDAN,,08-Jul-2014,3,,
DARTMOUTH,GULF,@ MEADOWOOD DRIVE,09-Jul-2014,3,,
NEW BEDFORD,COUNTY,,09-Jul-2014,3,,
NEW BEDFORD,46 DELANO,,09-Jul-2014,3,,
NEW BEDFORD,DELANO,,09-Jul-2014,3,,
NEW BEDFORD,W-RODNEY-FRENCH,,09-Jul-2014,3,,
PLYMOUTH,74 GARRETT,,09-Jul-2014,3,,
WORCESTER,25 ACTON,,09-Jul-2014,3,,
DARTMOUTH,JOSHUA-WEEKS,,10-Jul-2014,3,,
FAIRHAVEN,BRIERCLIFF,,10-Jul-2014,3,,
NEW BEDFORD,24 COVE,,10-Jul-2014,3,,
NEW BEDFORD,49 MACARTHUR,,10-Jul-2014,3,,
NEW BEDFORD,83 RUTH,,10-Jul-2014,3,,
NEW BEDFORD,SALISBURY,,10-Jul-2014,3,,
NEW BEDFORD,SOUTH,,10-Jul-2014,3,,
SOMERVILLE,57 UPLAND,,10-Jul-2014,3,,
WORCESTER,193 VERNON,,10-Jul-2014,3,,
HOLLISTON,95 GREGORY,,11-Jul-2014,3,,
HOLLISTON,495 NORFOLK,,11-Jul-2014,3,,
HOLLISTON,NORFOLK,,11-Jul-2014,3,,
NEW BEDFORD,145-147 ALLORD,,11-Jul-2014,3,,
NEW BEDFORD,151 BIRCH,,11-Jul-2014,3,,
NEW BEDFORD,90 MOSS,,11-Jul-2014,3,,
CAMBRIDGE,WALDEN,@ CONCORD STREET,12-Jul-2014,3,,
ASHLAND,40 BIRCH-HILL,,14-Jul-2014,3,,
ASHLAND,44 BIRCH-HILL,,14-Jul-2014,3,,
NATICK,29 VIRGINIA,,14-Jul-2014,3,,
NEW BEDFORD,103 HUDSON,,14-Jul-2014,3,,
NEW BEDFORD,71 SEYMOUR,,14-Jul-2014,3,,
NEW BEDFORD,83 SEYMOUR,,14-Jul-2014,3,,
NEW BEDFORD,93 SEYMOUR,,14-Jul-2014,3,,
NEW BEDFORD,W-RODNEY-FRENCH,,14-Jul-2014,3,,
SHREWSBURY,651 LAKE,,14-Jul-2014,3,,
WESTBOROUGH,169 WEST MAIN,,14-Jul-2014,3,,
WESTBOROUGH,WEST MAIN,@ WEST STREET,14-Jul-2014,3,,
NEW BEDFORD,78 BROCK,,15-Jul-2014,3,,
NEW BEDFORD,805 BROCK,,15-Jul-2014,3,,
NEW BEDFORD,90 BROCK,,15-Jul-2014,3,,
SHREWSBURY,34 LAKEVIEW,,15-Jul-2014,3,,
SHREWSBURY,36 N-QUINSIGAMOND,,15-Jul-2014,3,,
WORCESTER,MASON,,15-Jul-2014,3,,
WORCESTER,TALLAWANDA,,15-Jul-2014,3,,
DARTMOUTH,379 HEMLOCK,,16-Jul-2014,3,,
DARTMOUTH,129 STACKHOUSE,,16-Jul-2014,3,,
DARTMOUTH,STACKHOUSE,,16-Jul-2014,3,,
DARTMOUTH,139 STEPHEN,,16-Jul-2014,3,,
GRAFTON,18 VINCENT,,16-Jul-2014,3,,
HOLLISTON,260 HOPPING-BROOK,,16-Jul-2014,3,,
WORCESTER,TOURAINE,,16-Jul-2014,3,,
ASHLAND,167 WINTER,,17-Jul-2014,3,,
NATICK,10 SURREY,,17-Jul-2014,3,,
NATICK,6 SURREY,,17-Jul-2014,3,,
WESTBOROUGH,3 COLONIAL,,17-Jul-2014,3,,
FAIRHAVEN,33 GELLETTE,,22-Jul-2014,3,,
FAIRHAVEN,39 GELLETTE,,22-Jul-2014,3,,
FAIRHAVEN,46 GELLETTE,,22-Jul-2014,3,,
FAIRHAVEN,58 GELLETTE,,22-Jul-2014,3,,
FAIRHAVEN,66 GELLETTE,,22-Jul-2014,3,,
WESTBOROUGH,91 FLANDERS,,22-Jul-2014,3,,
CAMBRIDGE,STATE,@ 810 MAIN STREET,23-Jul-2014,3,,
FAIRHAVEN,10 EVERGREEN,,23-Jul-2014,3,,
FAIRHAVEN,6 EVERGREEN,,23-Jul-2014,3,,
FAIRHAVEN,8 EVERGREEN,,23-Jul-2014,3,,
FAIRHAVEN,HILL,,23-Jul-2014,3,,
FAIRHAVEN,HILL,,23-Jul-2014,3,,
NATICK,15 DRURY,,23-Jul-2014,3,,
SHREWSBURY,615 MAIN,,23-Jul-2014,3,,
SHREWSBURY,734-738 MAIN,,23-Jul-2014,3,,
CAMBRIDGE,23 CONCORD,,24-Jul-2014,3,,
FAIRHAVEN,12 BLOSSOM,,24-Jul-2014,3,,
FAIRHAVEN,17 BLOSSOM,,24-Jul-2014,3,,
FAIRHAVEN,5 BLOSSOM,,24-Jul-2014,3,,
FAIRHAVEN,18 EVERGREEN,,24-Jul-2014,3,,
FAIRHAVEN,22 EVERGREEN,,24-Jul-2014,3,,
FAIRHAVEN,33-34 EVERGREEN,,24-Jul-2014,3,,
FAIRHAVEN,35-36 EVERGREEN,,24-Jul-2014,3,,
FAIRHAVEN,EVERGREEN,,24-Jul-2014,3,,
FAIRHAVEN,4 HILL,,24-Jul-2014,3,,
FAIRHAVEN,HILL,,24-Jul-2014,3,,
FAIRHAVEN,12 HAMLET,,28-Jul-2014,3,,
FAIRHAVEN,16 HAMLET,,28-Jul-2014,3,,
FAIRHAVEN,18 HAMLET,,28-Jul-2014,3,,
FAIRHAVEN,20 HAMLET,,28-Jul-2014,3,,
FAIRHAVEN,26 HAMLET,,28-Jul-2014,3,,
FAIRHAVEN,4 HAMLET,,28-Jul-2014,3,,
FAIRHAVEN,6 HAMLET,,28-Jul-2014,3,,
FAIRHAVEN,7-8 HAMLET,,28-Jul-2014,3,,
FAIRHAVEN,HAMLET,,28-Jul-2014,3,,
GRAFTON,81 CREEPER-HILL,,28-Jul-2014,3,,
GRAFTON,37 HILLTOP,,28-Jul-2014,3,,
GRAFTON,20 NELSON,,28-Jul-2014,3,,
GRAFTON,65 NOTTINGHAM,,28-Jul-2014,3,,
WAYLAND,8 HEARTHSTONE,,28-Jul-2014,3,,
CAMBRIDGE,118-120 SHERMAN,,29-Jul-2014,3,,
FAIRHAVEN,14 COOLIDGE,,29-Jul-2014,3,,
FAIRHAVEN,5 COOLIDGE,,29-Jul-2014,3,,
FAIRHAVEN,COOLIDGE,,29-Jul-2014,3,,
FAIRHAVEN,33 DARTMOUTH,,29-Jul-2014,3,,
FAIRHAVEN,41 DARTMOUTH,,29-Jul-2014,3,,
FAIRHAVEN,29 HAMLET,,29-Jul-2014,3,,
FAIRHAVEN,STUDLEY,,29-Jul-2014,3,,
FAIRHAVEN,110 WEEDEN,,30-Jul-2014,3,,
FAIRHAVEN,14 WEEDEN,,30-Jul-2014,3,,
FAIRHAVEN,28 WEEDEN,,30-Jul-2014,3,,
FAIRHAVEN,30 WEEDEN,,30-Jul-2014,3,,
MARLBORO,480 FARM,,30-Jul-2014,3,,
WORCESTER,1 LONGWOOD,,30-Jul-2014,3,,
CAMBRIDGE,3 GRAY GARDENS EAST,,31-Jul-2014,3,,
DEDHAM,54 GAINSVILLE,,31-Jul-2014,3,,
FAIRHAVEN,141 WEEDEN,,31-Jul-2014,3,,
FAIRHAVEN,WEEDEN,,31-Jul-2014,3,,
NATICK,23 KELSEY,,31-Jul-2014,3,,
NATICK,5 WESTFIELD,,31-Jul-2014,3,,
DARTMOUTH,45 BIRCHWOOD,,01-Aug-2014,3,,
DARTMOUTH,12 CYPRESS,,01-Aug-2014,3,,
DARTMOUTH,9 DRIFTWOOD,,01-Aug-2014,3,,
DEDHAM,122 HIGH,,01-Aug-2014,3,,
FAIRHAVEN,65 MILL,,01-Aug-2014,3,,
FAIRHAVEN,67 MILL,,01-Aug-2014,3,,
FAIRHAVEN,MILL,,01-Aug-2014,3,,
MATTAPAN,47 MATTAKEESET,,01-Aug-2014,3,,
WORCESTER,GROVE,@ LANSING AVENUE,01-Aug-2014,3,,
HUDSON,28 POPE,,03-Aug-2014,3,,
ASHLAND,109 HOWE,,04-Aug-2014,3,,
FAIRHAVEN,11 EDDY,,04-Aug-2014,3,,
MATTAPAN,119 RUSKINDALE,,04-Aug-2014,3,,
WORCESTER,750 GROVE,,04-Aug-2014,3,,
WORCESTER,GROVE,@ DRUMMOND AVENUE,04-Aug-2014,3,,
ASHLAND,LELAND,@ ALDEN STREET,05-Aug-2014,3,,
ASHLAND,507 MAIN,,05-Aug-2014,3,,
ASHLAND,74 SUMMER,,05-Aug-2014,3,,
ASHLAND,155 UNION,,05-Aug-2014,3,,
CAMBRIDGE,12 WHITTIER,,05-Aug-2014,3,,
MATTAPAN,RUSKINDALE,@ RADCLIFFE ROAD,05-Aug-2014,3,,
DARTMOUTH,CENTER,@ RUSSELL MILLS ROAD,06-Aug-2014,3,,
FAIRHAVEN,17-18 JAMESON,,06-Aug-2014,3,,
MATTAPAN,46 TAUNTON,,06-Aug-2014,3,,
MATTAPAN,OPP. 54 TAUNTON,,06-Aug-2014,3,,
SHREWSBURY,60 HOWE,,06-Aug-2014,3,,
SHREWSBURY,74 HOWE,,06-Aug-2014,3,,
CAMBRIDGE,8 WESTLEY,,07-Aug-2014,3,,
DARTMOUTH,27 SMITH,,07-Aug-2014,3,,
DARTMOUTH,47 SMITH,,07-Aug-2014,3,,
FAIRHAVEN,47 HACKER,,07-Aug-2014,3,,
FAIRHAVEN,4 HIGHLAND,,07-Aug-2014,3,,
FAIRHAVEN,8 HIGHLAND,,07-Aug-2014,3,,
FAIRHAVEN,HIGHLAND,,07-Aug-2014,3,,
WORCESTER,190 FREMONT,,07-Aug-2014,3,,
CAMBRIDGE,102 HARVEY,,08-Aug-2014,3,,
DARTMOUTH,33 ARCH,,08-Aug-2014,3,,
DARTMOUTH,11 EDGEWORTH,,08-Aug-2014,3,,
DARTMOUTH,GREENDALE,@ WEBSTER STREET,08-Aug-2014,3,,
DARTMOUTH,LAUREL,@ ATLANTIC STREET,08-Aug-2014,3,,
DEDHAM,78 HILLSIDE,,08-Aug-2014,3,,
FAIRHAVEN,2 BAY-VIEW,,08-Aug-2014,3,,
FAIRHAVEN,36 BAY-VIEW,,08-Aug-2014,3,,
FAIRHAVEN,54 BAY-VIEW,,08-Aug-2014,3,,
FAIRHAVEN,62 BAY-VIEW,,08-Aug-2014,3,,
FAIRHAVEN,25 BRAE,,08-Aug-2014,3,,
FAIRHAVEN,30-33 BRAE,,08-Aug-2014,3,,
FAIRHAVEN,5 BRAE,,08-Aug-2014,3,,
FAIRHAVEN,BRAE,,08-Aug-2014,3,,
FAIRHAVEN,BRAE,@ SEBEC STREET,08-Aug-2014,3,,
FAIRHAVEN,4 DAY,,08-Aug-2014,3,,
FAIRHAVEN,DAY,@ SCONTICUT NECK ROAD,08-Aug-2014,3,,
WORCESTER,3 NEPTUNE,,08-Aug-2014,3,,
DARTMOUTH,75 THERESA,,11-Aug-2014,3,,
FAIRHAVEN,HARVARD,,11-Aug-2014,3,,
FAIRHAVEN,31 MANHATTAN,,11-Aug-2014,3,,
FAIRHAVEN,33 MANHATTAN,,11-Aug-2014,3,,
FAIRHAVEN,123 SCONTICUT-NECK,,11-Aug-2014,3,,
ASHLAND,507 MAIN,,12-Aug-2014,3,,
ASHLAND,71 WARREN,,12-Aug-2014,3,,
ASHLAND,98 WARREN,,12-Aug-2014,3,,
CAMBRIDGE,26 ELLERY,,12-Aug-2014,3,,
CAMBRIDGE,24 FISKE,,12-Aug-2014,3,,
CAMBRIDGE,141-143 RINDGE,,12-Aug-2014,3,,
FAIRHAVEN,40 BAY,,12-Aug-2014,3,,
FAIRHAVEN,38 GROVE,,12-Aug-2014,3,,
FAIRHAVEN,46 GROVE,,12-Aug-2014,3,,
MATTAPAN,79 BIRCHCROFT,,12-Aug-2014,3,,
WORCESTER,30 ADAMS,,12-Aug-2014,3,,
WORCESTER,10 AGAWAM,,12-Aug-2014,3,,
WORCESTER,OPP 9 AIRLIE,,12-Aug-2014,3,,
WORCESTER,AIRLIE,,12-Aug-2014,3,,
WORCESTER,100 ALVARADO,,12-Aug-2014,3,,
WORCESTER,4 ALVARADO,,12-Aug-2014,3,,
WORCESTER,82 ALVARADO,,12-Aug-2014,3,,
WORCESTER,90 ALVARADO,,12-Aug-2014,3,,
WORCESTER,88 AMHERST,,12-Aug-2014,3,,
WORCESTER,8 ANNA,,12-Aug-2014,3,,
WORCESTER,ANNA,,12-Aug-2014,3,,
CAMBRIDGE,13 GRAY-GARDEN-E,,13-Aug-2014,3,,
CAMBRIDGE,25 GRAY-GARDEN-E,,13-Aug-2014,3,,
CAMBRIDGE,31 GRAY-GARDEN-E,,13-Aug-2014,3,,
FAIRHAVEN,23 BONNEY,,13-Aug-2014,3,,
FAIRHAVEN,29 HATHAWAY,,13-Aug-2014,3,,
FAIRHAVEN,30 HATHAWAY,,13-Aug-2014,3,,
FAIRHAVEN,HATHAWAY,,13-Aug-2014,3,,
FAIRHAVEN,9 ORCHARD,,13-Aug-2014,3,,
HOPKINTON,180 ASH,,13-Aug-2014,3,,
HOPKINTON,188 ASH,,13-Aug-2014,3,,
HOPKINTON,211 ASH,,13-Aug-2014,3,,
HOPKINTON,2 EXCHANGE,,13-Aug-2014,3,,
HOPKINTON,6 EXCHANGE,,13-Aug-2014,3,,
HOPKINTON,8 MESERVE,,13-Aug-2014,3,,
HOPKINTON,OFF WOOD,,13-Aug-2014,3,,
HOPKINTON,WOOD,,13-Aug-2014,3,,
NATICK,11 FERNDALE,,13-Aug-2014,3,,
NATICK,30 HARWOOD,,13-Aug-2014,3,,
NEEDHAM,1116 GREAT-PLAIN,,13-Aug-2014,3,,
NEEDHAM,HUNNEWELL,,13-Aug-2014,3,,
WORCESTER,12 WESTBOROUGH,,13-Aug-2014,3,,
WORCESTER,120 APRICOT,,14-Aug-2014,3,,
WORCESTER,112 ARARAT,,14-Aug-2014,3,,
WORCESTER,113 ARARAT,,14-Aug-2014,3,,
WORCESTER,OPP 96 ARARAT,,14-Aug-2014,3,,
WORCESTER,3 ARBOR VITAE,,14-Aug-2014,3,,
WORCESTER,36 ASCADILLA,,14-Aug-2014,3,,
ASHLAND,POND,@ BUTTERFIELD DRIVE,15-Aug-2014,3,,
ASHLAND,70 SUMMER,,15-Aug-2014,3,,
MATTAPAN,OPP 78 SEMINOLE,,15-Aug-2014,3,,
NATICK,14 JENNINGS-POND,,15-Aug-2014,3,,
SHREWSBURY,423 OAK,,15-Aug-2014,3,,
CAMBRIDGE,323-325 CONCORD,,16-Aug-2014,3,,
DEDHAM,225 COURT,,18-Aug-2014,3,,
HUDSON,109 FORT-MEADOW,,18-Aug-2014,3,,
HUDSON,5 FORT-MEADOW,,18-Aug-2014,3,,
MARLBORO,150 LEOLEIS,,18-Aug-2014,3,,
MATTAPAN,800 RIVER,,18-Aug-2014,3,,
SOMERVILLE,PEARSON,,18-Aug-2014,3,,
WORCESTER,RIDGE,@ 7 LAPIERRE STREET,18-Aug-2014,3,,
CAMBRIDGE,BROADWAY,,19-Aug-2014,3,,
DEDHAM,99 CURVE,,19-Aug-2014,3,,
HUDSON,55 CAUSEWAY,,19-Aug-2014,3,,
HYDE PARK,201 WOOD,,19-Aug-2014,3,,
HYDE PARK,309 WOOD,,19-Aug-2014,3,,
SOMERVILLE,110 BOSTON,,19-Aug-2014,3,,
