ADDRESS,TOWN,INTERSECTION,ZIP,LAT,LNG,ADDRESS_TYPES,CLASSIFIED,GRADE
MILL,NATICK,@ SPEEN STREET,,,,,9/3/14,3
226 POND,NATICK,,,,,,9/3/14,3
252 POND,NATICK,,,,,,9/3/14,3
92 SPEEN,NATICK,,,,,,9/3/14,3
96 SPEEN,NATICK,,,,,,9/3/14,3
255 BEACON,SOMERVILLE,,,,,,9/3/14,3
50-52 BEACON,SOMERVILLE,,,,,,9/3/14,3
7 INDIAN-LAKE,WORCESTER,,,,,,9/3/14,3
4 ROSEMONT,WORCESTER,,,,,,9/3/14,3
UPLAND,WORCESTER,,,,,,9/3/14,3
CEDAR,CAMBRIDGE,@ MCLEAN PLACE,,,,,9/2/14,3
20 MILTON,DEDHAM,,,,,,9/2/14,2
116 LEDGEWOOD,DEDHAM,,,,,,9/2/14,3
137 BRIDGE,FAIRHAVEN,,,,,,9/2/14,3
15 HOMESTEAD,FAIRHAVEN,,,,,,9/2/14,3
122 SPRING,FAIRHAVEN,,,,,,9/2/14,3
89 SPRING,FAIRHAVEN,,,,,,9/2/14,3
SPRING,FAIRHAVEN,,,,,,9/2/14,3
53 OLD-BOLTON,HUDSON,,,,,,9/2/14,3
57 OLD-BOLTON,HUDSON,,,,,,9/2/14,3
59 OLD-BOLTON,HUDSON,,,,,,9/2/14,3
278 BEACON,SOMERVILLE,,,,,,9/2/14,3
286 BEACON,SOMERVILLE,,,,,,9/2/14,3
BEACON,SOMERVILLE,,,,,,9/2/14,3
5 APOLLO,WORCESTER,,,,,,9/2/14,3
87 EAGLE,WORCESTER,,,,,,9/2/14,3
EAGLE,WORCESTER,@ NEPTUNE ROAD,,,,,9/2/14,3
36 ROMOLA,WORCESTER,,,,,,9/2/14,3
79 VENUS,WORCESTER,,,,,,9/2/14,3
81 VENUS,WORCESTER,,,,,,9/2/14,3
7 W-BOYLSTON,WORCESTER,,,,,,9/2/14,3
35 JERSEY,DEDHAM,,,,,,8/29/14,3
11 MAYFAIR,DEDHAM,,,,,,8/29/14,3
HUTTLESTON,FAIRHAVEN,,,,,,8/29/14,3
19 TEMPLE,FAIRHAVEN,,,,,,8/29/14,3
1 TRIPP,FAIRHAVEN,,,,,,8/29/14,3
22 TRIPP,FAIRHAVEN,,,,,,8/29/14,3
204 WASHINGTON,FAIRHAVEN,,,,,,8/29/14,3
WASHINGTON,FAIRHAVEN,,,,,,8/29/14,3
15 BONAZZOLI,HUDSON,,,,,,8/29/14,3
429 MAIN,HUDSON,,,,,,8/29/14,3
439 MAIN,HUDSON,,,,,,8/29/14,3
CAMP,MILFORD,,,,,,8/29/14,3
8 CORNELL,MILFORD,,,,,,8/29/14,3
21 RUSSELL,SOMERVILLE,,,,,,8/29/14,3
45 RUSSELL,SOMERVILLE,,,,,,8/29/14,3
BEECHMONT,WORCESTER,@ 1 BANCROFT TOWER ROAD,,,,,8/29/14,3
UPSALA,WORCESTER,,,,,,8/29/14,3
DANA,CAMBRIDGE,,,,,,8/28/14,3
DANA,CAMBRIDGE,,,,,,8/28/14,3
128-130 HIGH,DEDHAM,,,,,,8/28/14,3
34 ELIZABETH,FAIRHAVEN,,,,,,8/28/14,3
MAIN,HUDSON,,,,,,8/28/14,2
77 HOUGHTON,HUDSON,,,,,,8/28/14,3
WHEELER,HUDSON,,,,,,8/28/14,3
12 WINTER,HUDSON,,,,,,8/28/14,3
DEPOT,MATTAPOISETT,,,,,,8/28/14,3
HAMMOND,MATTAPOISETT,,,,,,8/28/14,3
HAMMOND,MATTAPOISETT,,,,,,8/28/14,3
HAMMOND,MATTAPOISETT,,,,,,8/28/14,3
HAMMOND,MATTAPOISETT,,,,,,8/28/14,3
29 MAIN,MATTAPOISETT,,,,,,8/28/14,3
7 RIVER,NATICK,,,,,,8/28/14,3
20 WATER,NATICK,,,,,,8/28/14,3
2008 ACUSHNET,NEW BEDFORD,,,,,,8/28/14,3
2043 ACUSHNET,NEW BEDFORD,,,,,,8/28/14,3
2095 ACUSHNET,NEW BEDFORD,,,,,,8/28/14,3
2416 ACUSHNET,NEW BEDFORD,,,,,,8/28/14,3
HOLLAND,SOMERVILLE,,,,,,8/28/14,3
49 MOORE,SOMERVILLE,,,,,,8/28/14,3
116 BELMONT,WORCESTER,,,,,,8/28/14,3
146 BELMONT,WORCESTER,,,,,,8/28/14,3
374 BELMONT,WORCESTER,,,,,,8/28/14,3
378 BELMONT,WORCESTER,,,,,,8/28/14,3
BELMONT,WORCESTER,,,,,,8/28/14,3
229 BEVERLY,WORCESTER,,,,,,8/28/14,3
OPP 80 BEVERLY,WORCESTER,,,,,,8/28/14,3
193 VERNON,WORCESTER,,,,,,8/28/14,3
209 VERNON,WORCESTER,,,,,,8/28/14,3
VERNON,WORCESTER,,,,,,8/28/14,3
125 WARNER,WORCESTER,,,,,,8/28/14,3
35 BUENA-VISTA,CAMBRIDGE,,,,,,8/27/14,3
7 AKIN,DARTMOUTH,,,,,,8/27/14,3
AKIN,DARTMOUTH,@ PROSPECT STREET,,,,,8/27/14,3
28 BREWSTER,DARTMOUTH,,,,,,8/27/14,3
11 MIDDLE,DARTMOUTH,,,,,,8/27/14,3
33 MIDDLE,DARTMOUTH,,,,,,8/27/14,3
38 MIDDLE,DARTMOUTH,,,,,,8/27/14,3
20 STILLMAN,DARTMOUTH,,,,,,8/27/14,3
39 HAZELNUT,DEDHAM,,,,,,8/27/14,3
10 HELENA,DEDHAM,,,,,,8/27/14,3
34 MANNING,DEDHAM,,,,,,8/27/14,3
40 MARLBORO,DEDHAM,,,,,,8/27/14,3
29 CALUMET,FAIRHAVEN,,,,,,8/27/14,3
3 CALUMET,FAIRHAVEN,,,,,,8/27/14,3
JERUSALEM,FAIRHAVEN,@ SCONTICUT NECK ROAD,,,,,8/27/14,3
JERUSALEM,FAIRHAVEN,@ 440 SCONTICUT NECK ROAD,,,,,8/27/14,3
JERUSALEM,FAIRHAVEN,,,,,,8/27/14,3
74 BROAD,HUDSON,,,,,,8/27/14,3
10 SUMMER,HUDSON,,,,,,8/27/14,3
2620 ACUSHNET,NEW BEDFORD,,,,,,8/27/14,3
2746 ACUSHNET,NEW BEDFORD,,,,,,8/27/14,3
28 SIAS,SHREWSBURY,,,,,,8/27/14,3
SIAS,SHREWSBURY,,,,,,8/27/14,3
1212 BROADWAY,SOMERVILLE,,,,,,8/27/14,3
29 CHETWYND,SOMERVILLE,,,,,,8/27/14,3
93 OSSIPEE,SOMERVILLE,,,,,,8/27/14,3
198 COBURN,WORCESTER,,,,,,8/27/14,3
327-329 CONCORD,CAMBRIDGE,,,,,,8/26/14,3
CONCORD,CAMBRIDGE,,,,,,8/26/14,3
11 CLEVELAND,DARTMOUTH,,,,,,8/26/14,3
1 DALLAS,DARTMOUTH,,,,,,8/26/14,3
347 GREENLODGE,DEDHAM,,,,,,8/26/14,2
119 GREENSBORO,DEDHAM,,,,,,8/26/14,3
22 BRIERCLIFF,FAIRHAVEN,,,,,,8/26/14,3
49 BRIERCLIFF,FAIRHAVEN,,,,,,8/26/14,3
12 GRANDVIEW,FAIRHAVEN,,,,,,8/26/14,3
60 GROVE,FAIRHAVEN,,,,,,8/26/14,3
188 HUTTLESTON,FAIRHAVEN,,,,,,8/26/14,3
