ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
17 SUMMER,FAIRHAVEN,,9/12/14,
22 BROWN,FAIRHAVEN,,9/18/14,2
17 COE,FAIRHAVEN,,9/23/14,2
28 HAMLET,FAIRHAVEN,,9/26/14,2
2 HAMLET,FAIRHAVEN,,9/26/14,2
22 HATHAWAY,FAIRHAVEN,,9/26/14,2
35 POINT,FAIRHAVEN,,10/4/14,1
118 WEEDEN,FAIRHAVEN,,10/8/14,2
137 LAUREL,FAIRHAVEN,,10/8/14,1
2 RYLE,FAIRHAVEN,,10/9/14,1
330 MAIN,FAIRHAVEN,,10/14/14,1
134 CHESTNUT,FAIRHAVEN,,10/15/14,1
110 ADAMS,FAIRHAVEN,,10/20/14,2
73 HARDING,FAIRHAVEN,,10/21/14,1
26 RIVET,FAIRHAVEN,,10/24/14,2
15 ROSEANNE,FAIRHAVEN,,10/28/14,1
35 HACKER,FAIRHAVEN,,11/5/14,2
14 MANHATTAN,FAIRHAVEN,,11/7/14,2
54 ADAMS,FAIRHAVEN,,11/7/14,2
67 MILL,FAIRHAVEN,,11/7/14,2
59 PLEASANT,FAIRHAVEN,,11/10/14,1
CASTLE,FAIRHAVEN,AT NORTH ST,11/19/14,2
27 HIGHLAND,FAIRHAVEN,,11/20/14,2
4 HARVARD,FAIRHAVEN,,11/20/14,2
14 BONNEY,FAIRHAVEN,,11/20/14,2
FRANCIS,FAIRHAVEN,,11/20/14,2
NANCY,FAIRHAVEN,,11/20/14,2
3 CHANEY,FAIRHAVEN,,11/21/14,1
36 HARVARD,FAIRHAVEN,,11/25/14,2
7 RIVET,FAIRHAVEN,,12/1/14,2
20 FAIRHAVEN-COMMONS,FAIRHAVEN,,12/1/14,2
43-46 HEDGE,FAIRHAVEN,,12/1/14,2
372 MAIN,FAIRHAVEN,,12/2/14,2
35 BRIDGE,FAIRHAVEN,,12/3/14,2
14 NEWTON,FAIRHAVEN,,12/4/14,2
309 ALDEN,FAIRHAVEN,,12/4/14,2
289 HUTTLESTON,FAIRHAVEN,,12/5/14,2
362 MAIN,FAIRHAVEN,,12/5/14,2
6 DUDLEY,FAIRHAVEN,,12/8/14,2
55 WILDING,FAIRHAVEN,,12/10/14,2
14 LIVESEY,FAIRHAVEN,,12/10/14,2
HOWLAND,FAIRHAVEN,AT MAIN ST,12/12/14,2
241 MAIN,FAIRHAVEN,,12/17/14,2
240 ADAMS,FAIRHAVEN,,12/26/14,3
14 RESERVATION,FAIRHAVEN,,12/29/14,2
HOLLIS,FRAMINGHAM,AT CHAFLIN ST,1/9/14,1
26 BRIARWOOD,FRAMINGHAM,,1/13/14,2
51 APPLEDOR,FRAMINGHAM,,1/13/14,1
FENWICK,FRAMINGHAM,AT ASHTON LN,1/15/14,2
198 LOCKLAND,FRAMINGHAM,,1/17/14,2
198 LOCKLAND,FRAMINGHAM,,1/21/14,2
CURRIER,FRAMINGHAM,AT LANEWOOD AVE,1/21/14,3
198 LOCKLAND,FRAMINGHAM,,1/22/14,2
237 UNION,FRAMINGHAM,,1/25/14,1
39-41 WOODWARD,FRAMINGHAM,,1/28/14,1
56 SECOND,FRAMINGHAM,,1/29/14,2
110 ELM,FRAMINGHAM,,1/30/14,1
2 NEW-YORK,FRAMINGHAM,,1/31/14,2
52 BERRY,FRAMINGHAM,,2/6/14,1
WILD-OAK,FRAMINGHAM,,2/6/14,1
200 LOCKLAND,FRAMINGHAM,,2/7/14,2
108 JEAN,FRAMINGHAM,,2/11/14,2
53 CLAFLIN,FRAMINGHAM,,2/16/14,1
16 BEAVER-TERRACE,FRAMINGHAM,,2/19/14,1
10 NICHOLAS,FRAMINGHAM,,2/25/14,2
56 EAMES,FRAMINGHAM,,2/19/14,2
58 LINDA,FRAMINGHAM,,2/20/14,2
20 ROSE,FRAMINGHAM,,2/24/14,1
30 ROSE,FRAMINGHAM,,2/24/14,2
25 KNIGHT,FRAMINGHAM,,2/24/14,2
6 STILLMAN,FRAMINGHAM,,2/25/14,2
325 PLEASANT,FRAMINGHAM,,2/25/14,2
327 SINGLETARY,FRAMINGHAM,,3/11/14,2
16 GLEASON,FRAMINGHAM,,3/14/14,1
CONCORD,FRAMINGHAM,AT PHELPS ST,3/19/14,1
30 SHAWMUT,FRAMINGHAM,,3/19/14,1
42590,FRAMINGHAM,,3/21/14,2
14 CREST,FRAMINGHAM,,3/24/14,2
13 ROXANNA,FRAMINGHAM,,3/26/14,1
13 GINA,FRAMINGHAM,,4/4/14,1
39 BERKELEY,FRAMINGHAM,,4/10/14,2
400 COCHITUATE,FRAMINGHAM,,4/14/14,1
SECOND,FRAMINGHAM,AT BEAVER TER CIR,4/18/14,2
19 DUFFET,FRAMINGHAM,,5/3/14,1
28 DUFFET,FRAMINGHAM,,5/7/14,1
11 VICTORY,FRAMINGHAM,,5/12/14,2
153 FRANKLIN,FRAMINGHAM,,5/12/14,1
89 MAYNARD,FRAMINGHAM,,5/15/14,1
19 DUFFET,FRAMINGHAM,,5/22/14,1
LANEWOOD,FRAMINGHAM,AT ROLLING DR,5/28/14,2
CHARLES,FRAMINGHAM,AT HOLLIS ST,5/29/14,2
4 BANCROFT,FRAMINGHAM,,6/10/14,1
19 LARRABEE,FRAMINGHAM,,6/12/14,1
997 WAVERLY,FRAMINGHAM,,6/13/14,1
42 GILBERT,FRAMINGHAM,,6/18/14,1
107 ROUNDTOP,FRAMINGHAM,,6/23/14,1
100 MOUNTAIN,FRAMINGHAM,,6/24/14,1
565 POTTER,FRAMINGHAM,,7/11/14,2
19 DUFFET,FRAMINGHAM,,7/13/14,1
396 OLD-CONNECTICUT,FRAMINGHAM,,7/14/14,2
9 CRESTWOOD,FRAMINGHAM,,7/15/14,2
329 SINGLETARY,FRAMINGHAM,,7/15/14,1
60 ELM,FRAMINGHAM,,7/21/14,1
477 EDGELL,FRAMINGHAM,,8/1/14,1
198 LOCKLAND,FRAMINGHAM,,8/4/14,2
200 LOCKLAND,FRAMINGHAM,,8/4/14,2
36 BELVIDERE,FRAMINGHAM,,8/7/14,2
51-53 LAWRENCE,FRAMINGHAM,,7/31/14,1
28 BRIARWOOD,FRAMINGHAM,,7/31/14,1
WINTHROP,FRAMINGHAM,AT MELLEN ST,8/1/14,2
WINTER,FRAMINGHAM,AT WAVERLY ST,8/5/14,1
19 PRIOR,FRAMINGHAM,,8/6/14,1
46 BETHANY,FRAMINGHAM,,8/26/14,1
615 CONCORD,FRAMINGHAM,,9/5/14,
60 SPEEN,FRAMINGHAM,,9/9/14,
1500 WORCESTER,FRAMINGHAM,,9/9/14,
43 WOODMERE,FRAMINGHAM,,9/10/14,
15 LINDBERGH,FRAMINGHAM,,9/24/14,2
15 LINDBERGH,FRAMINGHAM,,9/24/14,2
1492 CONCORD,FRAMINGHAM,,9/29/14,1
108 FAY,FRAMINGHAM,,10/6/14,2
847 CENTRAL,FRAMINGHAM,,10/20/14,1
26A-26B A,FRAMINGHAM,,10/28/14,1
911 EDGELL,FRAMINGHAM,,10/30/14,1
19 DUFFETT,FRAMINGHAM,,11/9/14,1
1004-1008 PLEASANT,FRAMINGHAM,,11/21/14,2
1004 PLEASANT,FRAMINGHAM,,11/22/14,2
14 CREST,FRAMINGHAM,,11/28/14,2
110 ROUNDTOP,FRAMINGHAM,,12/1/14,2
16 HILLSIDE,FRAMINGHAM,,12/3/14,1
42624 MORTON,FRAMINGHAM,,12/5/14,2
CLAUDETTE,FRAMINGHAM,AT LYMAN RD,12/8/14,2
35 NEWTON,FRAMINGHAM,,12/11/14,2
74-76 NEW YORK,FRAMINGHAM,,12/12/14,1
79 BEACON,FRAMINGHAM,,12/17/14,2
1 FRANCINE,FRAMINGHAM,,12/17/14,2
33 GLEASON,FRAMINGHAM,,12/22/14,2
37 LYMAN,FRAMINGHAM,,12/22/14,2
98 LAWRENCE,FRAMINGHAM,,12/23/14,2
10 CRESTWOOD,FRAMINGHAM,,12/23/14,2
907 PLEASANT,FRAMINGHAM,,12/26/14,2
57 BETHANY,FRAMINGHAM,,12/26/14,2
138 TARALLI,FRAMINGHAM,,12/29/14,2
LINCOLN,FRAMINGHAM,,12/29/14,2
20 SECOND,FRAMINGHAM,,12/29/14,2
573 PLEASANT,FRAMINGHAM,,12/30/14,2
1062 GROVE,FRAMINGHAM,,12/30/14,1
7 N-MAIN,GRAFTON,,1/10/14,1
HOLLYWOOD,GRAFTON,AT BEVERLY RD,1/10/14,2
42374 WOODBRIDGE,GRAFTON,,1/13/14,1
35 GRAFTN-COMN,GRAFTON,,1/16/14,2
35 GRAFTN-COMN,GRAFTON,,2/3/14,2
JANET,GRAFTON,AT DORIS,3/7/14,1
DORIS,GRAFTON,AT MARYANN DR,3/14/14,1
2 MILL,GRAFTON,,3/24/14,2
33 SOUTH,GRAFTON,,5/2/14,1
52 ELMWOOD,GRAFTON,,5/14/14,2
19 BAY-FARM,GRAFTON,,7/19/14,1
9 SUNRISE,GRAFTON,,7/29/14,2
85 PROVIDENCE,GRAFTON,,8/6/14,2
27-33 BUTTERCUP,GRAFTON,,9/15/14,2
79 ELMWOOD,GRAFTON,,11/10/14,2
33 GORDON,GRAFTON,,11/24/14,2
160 RESERVOIR,HOLDEN,,9/11/14,
10 WOODRIDGE,HOLDEN,,12/4/14,2
71 TRACY-LYN,HOLLISTON,,1/5/14,2
12 METCALF,HOLLISTON,,1/6/14,2
WASHINGTON,HOLLISTON,,1/28/14,2
1605 WASHINGTON,HOLLISTON,,1/28/14,2
286 WASHINGTON,HOLLISTON,,2/4/14,2
286 WASHINGTON,HOLLISTON,,2/5/14,2
16 PINECREST,HOLLISTON,,2/7/14,2
730 NORFOLK,HOLLISTON,,2/7/14,2
16 BRADFORD-JAY,HOLLISTON,,2/10/14,2
WASHINGTON,HOLLISTON,AT POPE,2/12/14,2
WASHINGTON,HOLLISTON,,2/12/14,2
83 MOHAWK,HOLLISTON,,2/18/14,1
CHESTNUT,HOLLISTON,AT WASHINGTON ST,2/24/14,2
66 WILKINS,HOLLISTON,,2/25/14,2
35 PAUL,HOLLISTON,,3/17/14,2
56 MORTON,HOLLISTON,,3/18/14,2
48 PINECREST,HOLLISTON,,3/21/14,2
OAKRIDGE,HOLLISTON,AT BIRCHWOOD RD,3/24/14,2
17 OAKRIDGE,HOLLISTON,,3/25/14,2
10 COLONIAL,HOLLISTON,,6/10/14,1
42560 PINECREST,HOLLISTON,,6/19/14,2
11 INDIAN,HOLLISTON,,8/6/14,1
310 HIGH,HOLLISTON,,8/5/14,2
49 PINECREST,HOLLISTON,,8/26/14,2
127 MOHAWK,HOLLISTON,,9/16/14,2
TURNER,HOLLISTON,,9/18/14,2
729 CENTRAL,HOLLISTON,,9/25/14,2
29 CONCORD,HOLLISTON,,10/28/14,2
149 HOLLY,HOLLISTON,,10/28/14,1
29 CONCORD,HOLLISTON,,10/28/14,1
65 BRADFORD JAY,HOLLISTON,,12/12/14,1
1212 WASHINGTON,HOLLISTON,,12/18/14,2
49 PINECREST,HOLLISTON,,12/18/14,2
37 ADIN,HOPEDALE,,1/15/14,1
42433 LAKE,HOPEDALE,,3/27/14,1
93 DUTCHER,HOPEDALE,,4/14/14,1
107 HOPEDALE,HOPEDALE,,9/14/14,
FREEDOM,HOPEDALE,,12/12/14,1
WOOD,HOPKINTON,AT WHISPER WAY,1/29/14,2
EASTVIEW,HOPKINTON,,5/2/14,1
353 WOOD,HOPKINTON,,5/30/14,2
200 WOOD,HOPKINTON,,6/4/14,2
13 THAYER-HTS,HOPKINTON,,6/4/14,2
13 THAYER-HTS,HOPKINTON,,6/4/14,2
CEDAR,HOPKINTON,AT ALKEN ST,6/24/14,1
34 CONNELLY-HILL,HOPKINTON,,7/25/14,1
333 WOOD,HOPKINTON,,10/8/14,2
319 WOOD,HOPKINTON,,10/8/14,2
15 FROSTPANE,HOPKINTON,,10/14/14,1
171 SOUTH,HOPKINTON,,10/31/14,1
