ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
CLIFFORD,NEW BEDFORD,@ 506 ASHLEY BOULEVARD,23-May-14,3
149 QUERY,NEW BEDFORD,,23-May-14,3
237 QUERY,NEW BEDFORD,,23-May-14,3
SHAW,NEW BEDFORD,,23-May-14,3
414 CHANDLER,WORCESTER,,23-May-14,3
124 RUSSELL,WORCESTER,,23-May-14,3
128 RUSSELL,WORCESTER,,23-May-14,3
7 ST-ELMO,WORCESTER,,23-May-14,3
37 SUFFOLK,DARTMOUTH,,27-May-14,3
48 SUFFOLK,DARTMOUTH,,27-May-14,3
496 ASHLEY,NEW BEDFORD,,27-May-14,3
ASHLEY,NEW BEDFORD,,27-May-14,3
103 BELLEVILLE,NEW BEDFORD,,27-May-14,3
EUGENIA,NEW BEDFORD,,27-May-14,3
141 HATCH,NEW BEDFORD,,27-May-14,3
HATCH,NEW BEDFORD,,27-May-14,3
95 HATCH,NEW BEDFORD,,27-May-14,3
198 WHITMAN,NEW BEDFORD,,27-May-14,3
201-203 WHITMAN,NEW BEDFORD,,27-May-14,3
CAMBRIDGE,WORCESTER,@ SOUTHBRIDGE STREET,27-May-14,3
26 DERBY,WORCESTER,,27-May-14,3
10 BIRCH-HILL,ASHLAND,,28-May-14,3
CEDAR-HILL,ASHLAND,,28-May-14,3
14 COLUMBUS,ASHLAND,,28-May-14,3
FRUIT,ASHLAND,,28-May-14,3
FRUIT,ASHLAND,,28-May-14,3
404 NASH,NEW BEDFORD,,28-May-14,3
140 PITMAN,NEW BEDFORD,,28-May-14,3
15A ELM,SOMERVILLE,,28-May-14,3
20 ELM,SOMERVILLE,,28-May-14,3
16 JONES,WORCESTER,,28-May-14,3
JONES,WORCESTER,@ 32 HEYWOOD STREET,28-May-14,3
84 LOXWOOD,WORCESTER,,28-May-14,3
39 RIDGEWOOD,WORCESTER,,28-May-14,3
43 RIDGEWOOD,WORCESTER,,28-May-14,3
45 RIDGEWOOD,WORCESTER,,28-May-14,3
42 ROWENA,WORCESTER,,28-May-14,3
70 HATHAWAY,DARTMOUTH,,29-May-14,3
88 HATHAWAY,DARTMOUTH,,29-May-14,3
70 EARLE,NEW BEDFORD,,29-May-14,3
80 EARLE,NEW BEDFORD,,29-May-14,3
HATHAWAY,NEW BEDFORD,,29-May-14,3
43-45 MADEIRA,NEW BEDFORD,,29-May-14,3
248 LINCOLN,WORCESTER,,29-May-14,3
349 BELLEVILLE,NEW BEDFORD,,30-May-14,3
BULLARD,NEW BEDFORD,,30-May-14,3
173 LANCASTER,WEST BOYLSTON,,30-May-14,3
243 LANCASTER,WEST BOYLSTON,,30-May-14,3
112 GROVE,WORCESTER,,30-May-14,3
54 BRYANT,DARTMOUTH,,2-Jun-14,3
598 SLOCUM,DARTMOUTH,,2-Jun-14,3
SPEEN,NATICK,@ FRANCES AVENUE,2-Jun-14,3
5 ROCKDALE,NEW BEDFORD,,2-Jun-14,3
SAWYER,NEW BEDFORD,,2-Jun-14,3
10 MULHALL,ASHLAND,,3-Jun-14,3
16 DELANO,DARTMOUTH,,3-Jun-14,3
25 DELANO,DARTMOUTH,,3-Jun-14,3
8 DELANO,DARTMOUTH,,3-Jun-14,3
131 ELM,DARTMOUTH,,3-Jun-14,3
137 ELM,DARTMOUTH,,3-Jun-14,3
165-189 ELM,DARTMOUTH,,3-Jun-14,3
18 ELM,DARTMOUTH,,3-Jun-14,3
263 ELM,DARTMOUTH,,3-Jun-14,3
7 ELM,DARTMOUTH,,3-Jun-14,3
COUNTY,NEW BEDFORD,,3-Jun-14,3
MYRTLE,NEW BEDFORD,,3-Jun-14,3
689 SUMMER,NEW BEDFORD,,3-Jun-14,3
276 SUMMER,SOMERVILLE,,3-Jun-14,3
SUMMER,SOMERVILLE,,3-Jun-14,3
120 EASTON,NEW BEDFORD,,4-Jun-14,3
228 HIGHLAND,NEW BEDFORD,,4-Jun-14,3
HIGHLAND,NEW BEDFORD,@ SAWYER STREET,4-Jun-14,3
SHAWMUT,NEW BEDFORD,,4-Jun-14,3
SHAWMUT,NEW BEDFORD,,4-Jun-14,3
87 SUTTON,NEW BEDFORD,,4-Jun-14,3
TOPHAM,NEW BEDFORD,@ HIGHLAND STREET,4-Jun-14,3
50-52 SPENCER,SOMERVILLE,,4-Jun-14,3
84 PINEHILL,ASHLAND,,5-Jun-14,3
108 WAVERLY,ASHLAND,,5-Jun-14,3
114 WAVERLY,ASHLAND,,5-Jun-14,3
WAVERLY,ASHLAND,,5-Jun-14,3
WINTER,ASHLAND,,5-Jun-14,3
1 MIDDLE,NEW BEDFORD,,5-Jun-14,3
17 BOW-STREET,SOMERVILLE,,5-Jun-14,3
BECKMAN,WORCESTER,,5-Jun-14,3
42 SEMINOLE,WORCESTER,,5-Jun-14,3
51 SEMINOLE,WORCESTER,,5-Jun-14,3
4 S-LENOX,WORCESTER,,5-Jun-14,3
60 S-LUDLOW,WORCESTER,,5-Jun-14,3
S-LUDLOW,WORCESTER,,5-Jun-14,3
16 S-WARD,WORCESTER,,5-Jun-14,3
UPSALA,WORCESTER,,5-Jun-14,3
WOODWARD,WORCESTER,,5-Jun-14,3
1 ERIC,DARTMOUTH,,6-Jun-14,3
596 HATHAWAY,NEW BEDFORD,,6-Jun-14,3
670 HATHAWAY,NEW BEDFORD,,6-Jun-14,3
HATHAWAY,NEW BEDFORD,,6-Jun-14,3
167 POTTER,NEW BEDFORD,,6-Jun-14,3
114-116 W-HILL,NEW BEDFORD,,6-Jun-14,3
214 AUSTIN,WORCESTER,,6-Jun-14,3
140 CHICKERING,DEDHAM,,9-Jun-14,3
227 PINE,DEDHAM,,9-Jun-14,3
20 OXFORD,NATICK,,9-Jun-14,3
27 WELLESLEY,NATICK,,9-Jun-14,3
582 SHAWMUT,NEW BEDFORD,,9-Jun-14,3
721 MAIN,WORCESTER,,9-Jun-14,3
779 MAIN,WORCESTER,,9-Jun-14,3
43 PARK-TERRACE,WORCESTER,,9-Jun-14,3
117 VALE,WORCESTER,,9-Jun-14,3
STATE,DARTMOUTH,,10-Jun-14,3
25 WALNUT,MILFORD,,10-Jun-14,3
ELM,MILLBURY,,10-Jun-14,3
8 KEANE,NATICK,,10-Jun-14,3
67 KILBURN,NEW BEDFORD,,10-Jun-14,3
92 KILBURN,NEW BEDFORD,,10-Jun-14,3
KILBURN,NEW BEDFORD,,10-Jun-14,3
158 ALGONQUIN,ASHLAND,,11-Jun-14,3
33 WASHINGTON,NATICK,,11-Jun-14,3
123 HIGHLAND,NEEDHAM,,11-Jun-14,3
50 DURFEE,NEW BEDFORD,,11-Jun-14,3
102 MT-PLEASANT,NEW BEDFORD,,11-Jun-14,3
128 MT-PLEASANT,NEW BEDFORD,,11-Jun-14,3
PLEASANT,NEW BEDFORD,@ LINDEN STREET,11-Jun-14,3
REYNOLDS,NEW BEDFORD,,11-Jun-14,3
251 STATE,NEW BEDFORD,,11-Jun-14,3
46 BROMFIELD,SOMERVILLE,,11-Jun-14,3
976 MAIN,WORCESTER,,11-Jun-14,3
18 GREENWOOD,ASHLAND,,12-Jun-14,3
GREENWOOD,ASHLAND,,12-Jun-14,3
109 HOWE,ASHLAND,,12-Jun-14,3
47 NICKERSON,ASHLAND,,12-Jun-14,3
742 COUNTY,NEW BEDFORD,,12-Jun-14,3
