LEAK_NO,REPORTED_HOUSE_NUMBER REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,,,
98783,62 WYMAN ST,,,JPL,,,,,,5/23/1996,3,,,,
98865,28 STONE AV,,,WNC,,,,,,5/28/1996,3,,,,
98893,31 WALDEN ST,,,JPL,,,,,,5/29/1996,3,,,,
99022,63 WALNUT ST,,,LEO,,,,,,5/29/1996,3,,,,
99212,11 SHERWOOD RD,,,WNC,,,,,,6/5/1996,3,,,,
99449,CUTTING ST,,MYSTIC AV,WNC,,,,,,6/10/1996,3,,,,
99450,29 EAST ST,,,WNC,,,,,,6/12/1996,3,,,,
99513,WILLIAMS ST,,STEDMAN ST,JPL,,,,,,6/13/1996,3,,,,
99520,55 GLEN RD,,,JPL,,,,,,6/14/1996,2,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Essex Gas Company,
,,,,,,,,,,,,,,d/b/a National Grid,
LEAK_NO,REPORTED_HOUSE_NUMBER,REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,D.P.U. 15-SQ-07,
99725,,CAMBRIDGE ST,CALUMET RD,WNC,,,,,,6/17/1996,3,,,,
99727,39 SWANTON ST,,,WNC,,,,,,6/17/1996,3,,,Section 5,
99746,1705 COMMONWEALTH AV,,,BRI,,,,,,6/17/1996,3,,,,
99842,,ROSE AV,WARE LN,MAR,,,,,,6/11/1996,3,,,Attachment 1,
99866,19 CLEVELAND RD,,,MAR,,,,,,6/7/1996,3,,,,
99871,131 ATLANTIC AV,,OCEAN AV,MAR,,,,,,6/7/1996,3,,,Page 3 of 106,
100038,94 CHURCH ST,,,WNC,,,,,,6/21/1996,3,,,,
100109,1786 TRAPELO RD,,,WAL,,,,,,6/21/1996,3,,,,
100143,233 BROADWAY,,,SAU,,,,,,5/23/1996,3,,,,
100193,9 CARTER ST,,,NEW,,,,,,3/15/1996,3,,,,
100268,22 PHILIP RD,,,LEX,,,,,,6/12/1996,3,,,,
100401,8 SALISBURY ST,,,WNC,,,,,,6/27/1996,3,,,,
100534,81 KEYSTONE DR,,,LEO,,,,,,6/20/1996,3,,,,
100579,,MAIN ST,CHESTNUT ST,WNC,,,,,,7/3/1996,3,,,,
100650,114 FLETCHER RD,,,BEL,,,,,,6/27/1996,3,,,,
100696,,MARLBORO ST,TREMONT ST,NEW,,,,,,6/18/1996,3,,,,
100700,,CHURCH ST,WAVERLY AV,NEW,,,,,,6/10/1996,3,,,,
100709,949 CENTRE ST,,,NEW,,,,,,4/26/1996,3,,,,
100786,25 SOUTH ST,,,JPL,,,,,,7/1/1996,3,,,,
100795,105 WALK HILL ST,,,JPL,,,,,,7/2/1996,3,,,,
100804,,CABOT ST,WESTCHESTER RD,NEW,,,,,,6/27/1996,3,,,,
100862,,SECOND ST,CABOT ST,EVE,,,,,,7/9/1996,3,,,,
101032,,ATLANTIC AV,MEADOW LN,COH,,,,,,6/10/1996,3,,,,
101135,304 MARSH ST,,,BEL,,,,,,7/10/1996,3,,,,
101282,,BROADWAY,BOW ST,SAU,,,,,,7/17/1996,3,,,,
101641,60 SUFFOLK ST,,,CHE,,,,,,7/25/1996,3,,,,
